MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.01454892	0.00016464	0.00047449	0.00027262	0.00089602	0.00007920	0.00052430	0.00040269	0.00092652
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00455475	0.00387781	0.00029134	0.00002880	0.00002380	0.00003920	0.00005030	0.00005990	0.00019445
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00084968	0.00455725	0.00011058	0.00009730	0.00000000	0.00000947	0.00000773	0.00019431	0.00005655
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00061078	0.00158444	0.00005680	0.00000634	0.00001370	0.00006300	0.00000000	0.00015798	0.00000806
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.00413283	0.01844795	0.01933329	0.23797886	0.00077205	0.02009754	0.00608681	0.00426298	0.00340893
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.01571853	0.00041034	0.00750183	0.00057226	0.00047955	0.00298053	0.00031446	0.00177092	0.00222752
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00234385	0.00047093	0.00037052	0.00051684	0.00026497	0.00006990	0.00002130	0.00101898	0.00037639
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00118248	0.00025717	0.00016818	0.00000816	0.00000612	0.00000640	0.00002850	0.00012637	0.00025060
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00014692	0.00009730	0.00005320	0.00011290	0.00000725	0.00000146	0.00001500	0.00000224	0.00002075
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00010617	0.00058502	0.00001150	0.00004430	0.00002990	0.00000235	0.00009080	0.00000224	0.00005207
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00049292	0.00634945	0.00199839	0.00191671	0.00116234	0.01061841	0.02394226	0.07827026	0.00720895
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.00055330	0.01838764	0.00020853	0.00166182	0.00210019	0.00180137	0.00012377	0.02359708	0.00203569
