Samples	ID83A	ID83B	ID83C	ID83D
SP24708	1.02E+00	1.61E+00	4.36E+00	5.20E+00
SP24301	1.46E+00	2.03E+00	5.25E+00	5.98E+00
SP27201	1.28E+00	1.99E+00	5.01E+00	5.67E+00
SP28791	6.18E-01	9.47E-01	2.80E+00	3.05E+00
SP23739	7.75E-01	1.04E+00	2.71E+00	3.16E+00
SP24702	1.28E+00	1.44E+00	4.91E+00	5.39E+00
SP25332	6.56E-01	8.39E-01	1.44E+00	1.65E+00
SP28335	7.40E-01	1.15E+00	4.01E+00	4.49E+00
SP26709	9.45E-01	9.36E-01	1.77E+00	1.84E+00
SP25350	1.05E+00	1.69E+00	4.35E+00	5.23E+00
SP25380	1.26E+00	2.01E+00	5.10E+00	5.66E+00
SP24565	4.48E-01	8.89E-01	3.06E+00	3.46E+00
SP25833	1.09E+00	1.42E+00	4.47E+00	5.29E+00
SP25905	6.20E-01	8.26E-01	2.90E+00	3.20E+00
SP26439	6.21E-01	7.86E-01	1.42E+00	1.69E+00
SP24236	1.27E+00	2.19E+00	8.58E+00	9.52E+00
SP23925	1.61E+00	4.72E+00	1.19E+00	5.23E+00
SP24815	1.14E+00	2.18E+00	6.22E+00	7.34E+00
SP27957	1.05E+00	1.35E+00	4.33E+00	4.79E+00
SP27603	8.79E-01	1.54E+00	5.24E+00	6.00E+00
SP27825	1.17E+00	1.78E+00	5.39E+00	5.98E+00
SP24135	1.04E+00	2.00E+00	6.33E+00	6.88E+00
SP26499	8.04E-01	1.08E+00	2.70E+00	2.89E+00
SP25518	1.21E+00	1.93E+00	6.50E+00	7.22E+00
SP28659	1.21E+00	1.92E+00	6.38E+00	6.93E+00
SP23622	9.89E-01	1.55E+00	3.70E+00	4.42E+00
SP27939	7.86E-01	1.28E+00	4.54E+00	4.93E+00
SP23754	5.44E-01	8.81E-01	1.90E+00	2.13E+00
SP29697	1.08E+00	1.27E+00	3.35E+00	3.59E+00
SP27339	8.67E-01	1.19E+00	3.31E+00	3.75E+00
SP29559	9.85E-01	1.03E+00	2.66E+00	2.67E+00
SP29331	9.45E-01	1.63E+00	5.72E+00	6.48E+00
SP26475	1.10E+00	1.36E+00	3.92E+00	4.48E+00
SP23775	1.19E+00	1.95E+00	6.27E+00	6.66E+00
SP28275	7.71E-01	1.00E+00	3.39E+00	3.63E+00
SP28581	1.08E+00	1.49E+00	4.39E+00	4.98E+00
SP23639	1.09E+00	1.62E+00	5.07E+00	5.61E+00
SP24391	9.80E-01	1.57E+00	5.33E+00	5.98E+00
SP28041	1.18E+00	1.96E+00	5.13E+00	5.96E+00
SP25494	1.59E+00	3.06E+00	1.16E+01	1.29E+01
SP26649	9.24E-01	1.54E+00	3.48E+00	3.99E+00
