spectrum	cosine	total_mutations
SP111038	0.967306964657897	3419
SP111033	0.967038555237857	1869
SP111076	0.964771573010444	1898
SP111095	0.961350090363537	2348
SP111114	0.959805066572487	3627
SP85339	0.957493293007465	1654
SP111031	0.956932181705787	3259
SP21057	0.955988871054777	2132
CPCT02180068T	0.955892615872868	6171
SP124971	0.95570174222638	1532
SP127638	0.953783049784344	1656
SP105425	0.953671250735718	1623
CPCT02080232T	0.95344819251499	2937
SP111116	0.951908703356399	2198
SP59448	0.950836637586703	3358
SP111164	0.950298484111165	1921
SP17016	0.949553748800531	1512
SP116614	0.949176897306741	1285
CPCT02330016T	0.948248201552794	2086
SP119755	0.948197097980205	2411
CPCT02310017T	0.948076181829084	4291
CPCT02180001T	0.947489497343603	2616
SP111036	0.946795916735155	1269
CPCT02440004T	0.946066956390333	3650
SP116663	0.945108608593834	1900
SP96122	0.944165765044143	2474
CPCT02100141T	0.943206011322121	3214
SP116657	0.94318762790083	1981
SP110847	0.943180363056296	1726
SP135182	0.942670116833776	2828
CPCT02330072T	0.941666749219464	2298
SP111045	0.941279798486002	2216
SP111101	0.941159440197132	2163
CPCT02050380T	0.940071587187393	4442
CPCT02290024T	0.939187854681671	2754
SP111170	0.938546887935657	2302
SP110849	0.937988778542159	1608
SP111070	0.937684103311348	1820
SP116690	0.937290472356144	1823
SP96129	0.936937974645481	1707
SP116715	0.93691537107645	3442
CPCT02210064T	0.936649341896934	4172
SP111017	0.936542899638016	1610
CPCT02030257T	0.936346646494524	2862
CPCT02030318T	0.936304853937763	2785
SP59312	0.935509513149145	1283
CPCT02100131T	0.934615441686444	2668
SP117376	0.934188844186326	1255
CPCT02230070T	0.934162754735539	3302
SP116645	0.933825350571391	1314
CPCT02150026T	0.933280684959093	2562
SP127636	0.933234873218077	1238
CPCT02230029T	0.932944096667582	1747
CPCT02230080T	0.932381174335378	1797
CPCT02010569T	0.932303179928909	3876
SP81840	0.93205507682234	2364
CPCT02050089T	0.931691622666685	4420
CPCT02180045T	0.931379439737446	2776
CPCT02250004T	0.931223923008965	3086
DRUP01010108T	0.930863139110463	5415
CPCT02230073T	0.930844662984586	1797
CPCT02340019T	0.930720562583109	2864
SP127630	0.930519334466798	1208
SP116726	0.930336032211717	1059
SP23498	0.930223260367197	1778
WIDE01010159T	0.929722433415348	2653
SP127640	0.928915172469163	1164
SP84998	0.92862833137411	915
CPCT02010598T	0.927349353491489	2037
WIDE01010455T	0.927324712057054	3296
SP127628	0.926761244703673	630
SP116648	0.926520918933059	2248
SP59384	0.926437799186689	503
SP96124	0.926404117539757	1637
SP124969	0.925261023492415	1745
CPCT02100186T	0.924379749238691	2254
SP85379	0.924236488233122	1871
CPCT02050234T	0.92401374280584	2273
CPCT02160034T	0.923914276320435	4753
CPCT02050179T	0.923500122236506	3083
CPCT02060103T	0.92337813491928	2395
CPCT02330072TII	0.922939067275442	3408
CPCT02020682T	0.922630125543978	1838
CPCT02230034T	0.922231962723858	1908
WIDE01010064T	0.921682446368153	4646
CPCT02440014T	0.921677114621884	3327
CPCT02060183T	0.921559931543107	3552
CPCT02050362T	0.921542147995733	2587
SP80271	0.921424178732965	1373
DRUP01330013T	0.92138287886619	2696
SP111000	0.920646238572086	1840
SP110860	0.9206071951111	1915
SP111096	0.920274515252957	1077
SP111024	0.919971326786158	1669
CPCT02340070T	0.919716388490207	1913
DRUP01330005T	0.919638445001958	3435
CPCT02090026T	0.918681126495348	2189
WIDE01010479T	0.918388215657812	1494
CPCT02080255T	0.918064273865932	2933
CPCT02140056T	0.917902618059519	2125
CPCT02050147T	0.917789340671028	3202
CPCT02040091T	0.917683012858181	2640
WIDE01010218T	0.917184571449936	3061
SP111088	0.91693484612268	1596
WIDE01010291T	0.916930419138498	2091
SP70288	0.916375312096733	835
SP96110	0.916306554357231	1245
SP111072	0.916191730337333	1024
CPCT02110073T	0.915980218705682	1565
CPCT02110047T	0.915818978116371	2504
CPCT02230006T	0.915403093317684	2305
CPCT02120150T	0.915233231294553	2364
DRUP01340013T	0.915130189076887	3437
CPCT02100127T	0.914992199894003	2903
CPCT02330059T	0.914989949327011	3231
CPCT02040027T	0.914937379698046	2485
WIDE01010545T	0.914763142858812	2984
CPCT02100201T	0.914559356321107	1931
SP59368	0.913773840183872	1433
CPCT02100044T	0.91348032406768	2796
CPCT02330132T	0.91340339708872	3272
SP59284	0.913354908819537	460
CPCT02030363T	0.91314380757113	1169
SP85130	0.912591292821465	1578
SP111049	0.911952549051016	1741
CPCT02350020T	0.911937398958601	1847
SP59412	0.911707390871033	1068
CPCT02210045T	0.911521699753495	2912
CPCT02100064T	0.911169588950462	1487
SP111064	0.911083498663444	2004
CPCT02380021T	0.911045072837733	2541
SP59280	0.911042617580693	482
CPCT02220056T	0.910834312723819	1672
SP135431	0.909556149657438	1632
WIDE01010669T	0.909495317434911	2782
WIDE01010691T	0.908958035833118	1580
CPCT02180048T	0.908814958340724	1421
SP124207	0.908710196954903	849
SP111035	0.908575869531192	2576
SP111119	0.908289165325821	3850
DRUP01030026T	0.908112263719064	1624
CPCT02110011T	0.907577426124303	1473
