Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
WIDE01010182T	315	88	310	281	235	127	50	57	92	20
DRUP01050040TII	622	0	515	0	0	526	81	10	85	0
WIDE01010225T	115	23	166	28	17	155	64	17	15	0
CPCT02050348T	39	33	48	0	65	193	43	5	2	0
WIDE01010275T	21	54	85	245	205	12	34	27	16	39
CPCT02010810T	15	24	66	50	13	19	64	13	13	2
CPCT02060206T	86	3664	97	0	140	248	209	6	126	12
WIDE01010284T	14	17	79	6	0	51	28	6	5	15
WIDE01010330T	7	9	57	62	17	48	12	11	4	3
WIDE01010312T	133	3595	39	198	116	0	53	37	123	94
WIDE01010317T	247	39	257	0	922	152	49	12	71	0
WIDE01010337T	39	370	330	186	89	34	58	8	52	0
CPCT02220043T	441	95	494	323	0	432	139	8	289	138
CPCT02130094T	50	40	399	361	293	0	67	38	26	35
WIDE01010329T	298	2012	346	57	382	0	82	20	95	0
WIDE01010331T	8	3	53	98	10	8	30	12	20	13
CPCT02010828T	73	925	212	84	91	0	86	16	27	0
WIDE01010101T	94	1900	365	49	97	205	37	45	82	58
WIDE01010349T	0	31	28	58	47	74	27	0	9	5
WIDE01010342T	10	41	180	81	30	6	33	15	21	12
WIDE01010359T	3	23	15	54	3	15	33	14	13	8
WIDE01010370T	8	20	0	84	59	52	21	16	0	7
WIDE01010369T	3	20	301	94	31	1	31	20	9	8
CPCT02340084T	101	328	192	239	52	33	41	8	23	0
DRUP01030015T	44	143	257	256	0	150	22	19	22	120
CPCT02060236T	8	17	62	34	19	38	108	18	5	11
CPCT02120125T	52	1640	89	93	11	191	37	22	59	50
CPCT02230098T	2262	0	128	0	0	80	114	36	33	29
DRUP01090015T	0	21	0	33	15	12	74	24	8	14
WIDE01010401T	41	24	54	121	77	111	35	60	4	0
CPCT02230105T	8	39	5	36	32	23	75	4	10	0
CPCT02080223T	36	10	60	0	665	68	121	11	17	1
CPCT02020730T	4	87	21	332	144	82	103	15	6	1
CPCT02010831T	254	1303	89	154	233	199	64	18	122	0
WIDE01010428T	22	3	61	61	2	45	30	11	8	12
CPCT02290039T	1254	0	898	0	87	264	182	29	65	73
CPCT02010843T	34	6	21	67	36	22	124	13	6	6
CPCT02130103T	40	40	291	160	144	28	132	13	0	53
CPCT02070337T	58	32	30	0	458	87	113	16	40	0
WIDE01010440T	0	28	33	146	29	0	24	5	19	6
