MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	0.007612320421540062	0.0012447984199388884	0.003433473332988797	0.01298693445882236	0.0076615000404854075	0.006359971046331339	0.014059183420613408	0.017687992400024086	0.03741589717566967	0.024007642334327103	0.06991062777116895	0.1544388418085873	0.04973287014876405	0.010965965467348723	0.04594626761507243	0.03421158206649125	0.011711821044091266
1:Del:C:1	0.003481835093089103	0.0007542066305904882	0.0007535373323480599	0.005436082754476957	0.0034167632412572856	0.004219488621893106	0.006218908940500114	0.007025245916156564	0.019111847425810992	0.00981379226082936	0.03644217579067913	0.07079176862724125	0.027163778878893936	0.0055334195474279115	0.01772613778928644	0.013968416950083338	0.03186185197206214
1:Del:C:2	0.0023849742554011757	0.00032108216248673217	0.0008006036619917723	0.004790021813248405	0.006894992496781925	0.0035824829035118453	0.004552767809509532	0.005834217736846768	0.011715038702823222	0.0029714498020621248	0.016935216250130905	0.0342620311040082	0.012940546454628929	0.004342757694903412	0.009596316534152721	0.008087444680277257	0.009641935146864853
1:Del:C:3	0.003021359367266996	0.0004684083658048621	0.0026874967931235006	0.002071526769314005	0.02551844351300133	0.0038082519301678983	0.0032973322082647805	0.005075208895141259	0.007416520279366523	0.00023391010501654818	0.009357672809856013	0.006806257422285853	0.007097506290903084	0.004313272538420279	0.010455014610633952	0.006277621467161225	0.0059246431810097986
1:Del:C:4	0.006351627697149524	0.00030252560394956163	0.006398370547685772	0.003487550872378051	0.07512935856845275	0.0013110436940314684	0.0037803494901163504	0.003670366752785412	0.003444341214834594	0.001163515850882959	0.005879331050403138	0.004658735923543418	0.0049353943618353924	0.005687119938447722	0.0027581529552512052	0.0029099999143795685	0.0014685485211177252
1:Del:C:5	0.020333867872832343	0.004336277528127539	0.02828638423838811	0.00977928929059999	0.17130112984085827	0.004227020705729956	0.012580756110073707	0.0038786754362809006	7.526434747219924e-05	0.0049391012661885725	0.0005687948505128304	0.0034914918646606454	0.0036005147594045184	0.015817922805435956	0.0019290240374974133	0.0052331271054572425	0.00019648851277906943
1:Del:T:0	0.00832918663712917	0.0006440203764941544	0.0034703873475791626	0.015836288389546097	0.006608709180145524	0.003859969952281972	0.009204589188739192	0.014057553422171623	0.014126753283198923	0.01365793441334972	0.11201905409805477	0.04995700999163091	0.03563965741486754	0.012457231308653718	0.0466347344146925	0.020782638114178555	0.031711325201322325
1:Del:T:1	0.004530278462916613	0.0008558920607993059	0.0023684845400202903	0.008624648563200025	0.0056253441731132624	0.002645894798624795	0.005113961810420733	0.021666185281937943	0.006614656121746521	0.009269745561658738	0.16600283665582538	0.0197475795125132	0.02492724020557489	0.010264079563130508	0.013692062009449729	0.010198561664437875	0.005285602233719829
1:Del:T:2	0.004954063642235269	0.0005301527953270125	0.005468634597664277	0.006500921510523767	0.012055471935746027	0.007251362285460345	0.00867145373893436	0.012821993241086602	0.016156223132275046	0.004182632986485259	0.0680196672026068	0.030901645217090844	0.020656139040365815	0.008963249137123057	0.027542144743783865	0.017446131011238323	0.023983677668752534
1:Del:T:3	0.012299739728332497	0.00019475822829008395	0.02172736874797465	0.010032757938606664	0.03975129199092635	0.006175230987573741	0.011216169696363068	0.012259411598788574	0.022025090474635363	0.011089518164818629	0.1095800409372896	0.04526965324010234	0.026686221760951413	0.012058379240334033	0.011634414117434062	0.01518310045365979	0.004674347689433489
1:Del:T:4	0.0283919693401549	0.002271539569901506	0.050389114399440584	0.022052068983830397	0.10835613902192563	0.01620426850829972	0.018099182404112072	0.009222074385179439	0.012569953483371137	0.0003425575257278979	0.06343598930674034	0.030363240821752697	0.022279674325254746	0.03296559922593587	0.019160413666190833	0.027179471321287566	0.01467773150507128
1:Del:T:5	0.6054114307463169	0.11524827941029799	0.6692456877976656	0.6354345886409283	0.06544609547466394	0.009521368737332524	0.1472315241897013	0.145979416060145	0.007948505609985262	0.021579425573208938	0.01906896161831061	0.022791482812117465	0.016238536696605514	0.32573448441922664	0.02563935697852685	0.02894665335377075	0.012494476626482287
1:Ins:C:0	0.0015542648696128935	0.0007514479469500657	0.0005745846239801722	0.0009305265917288352	0.0004008849190940822	0.0006641978408137561	0.001614507381460726	0.4599940422177315	0.0039523113101307674	0.000354783693352374	0.0011427852510436764	0.001013709205988249	0.0006612826268593608	0.002175873618756725	0.0009829671682683738	0.0019412219259353947	0.0003291507159829621
1:Ins:C:1	0.0009467654877880705	0.002009589031804353	0.00018939331348519773	0.003322461128682335	0.0008156863911426626	0.0008688540905131959	0.002340541946960002	0.017218531803227962	0.0006384375007837662	0.007315223328769207	0.007314056086702294	0.00647032436740119	0.0041235382603190375	0.0017260016901127528	0.0031614067302496098	0.003043642035772791	0.011515318057425361
1:Ins:C:2	0.0004639569938444765	0.0009817988994473125	0.0003665365439883317	0.002151354152811109	0.0011578448560612743	0.0006365920571261086	0.0014231076638679951	0.002955106442095712	0.00045295271682064707	8.46923075732775e-05	0.0020719962949530667	0.002072760381895478	0.003787198454497229	0.0016586846557765966	0.007710255889982278	0.0035629303658788556	0.002972924065252016
1:Ins:C:3	0.0006609264347389399	0.0018039582594064996	0.0004016729204857938	0.0014653700946325899	0.0018872271120699224	0.0014619137824047356	0.001423790610351716	0.0012072218277899083	0.0	0.003297816285573845	0.0018995669204967668	0.0013248052368862772	0.002295381008007098	0.0010708301607883187	0.002647694321792642	0.0022913053624210988	0.005339717571041546
1:Ins:C:4	0.0014192175979405874	0.09720134571194648	0.0017308716285197078	0.0008330554848726024	0.00851117225871917	0.0005207639925265539	0.0006401610104558131	0.0007297746790027304	5.408637366734581e-05	0.0005739197171726573	0.0009928529336298197	0.0017589961362907047	0.0012936478899007397	0.0054286119125575285	0.002091374732325164	0.0013865445939126176	0.0008787830053672963
1:Ins:C:5	0.010607119594933465	0.10066736189648509	0.0056637723051608194	0.010118758131866343	0.03677854174748063	0.026817561690695584	0.02015483656708966	0.0013747957156738267	0.0013458570876900922	0.0053792613022960725	0.008090118035906925	0.003405949604493799	0.010360699163284153	0.017035613589687273	0.009202260275087611	0.015619273116462863	0.011969337193295359
1:Ins:T:0	0.0020399741482560784	0.002319039062131196	0.0010446378081525153	0.0034832857911260362	0.0013851706034620293	0.004579636488342658	0.006867359019743162	0.022230777814984323	0.0034393325643031856	0.030229412987828254	0.005678582832948962	0.014111040874267929	0.005523336733458564	0.004547505609225482	0.004461078013991937	0.006594126841519028	0.016668233894743024
1:Ins:T:1	0.003001903601852973	0.0018543501384556294	0.0005534269693816896	0.0025021060908329675	0.001720105956376301	0.003887381493113935	0.0071368632073244955	0.010079117973800749	0.0021692992479074745	0.005620057015257771	0.006341088452755057	0.012845570315621445	0.015697256798157467	0.00529087146247548	0.01824916582466528	0.01251849652529927	0.1584602976310998
1:Ins:T:2	0.0029334069519973125	0.002587516170460731	0.0014004074404329004	0.0030638444256919682	0.006718346463749185	0.0021554657056482183	0.0054774351863643034	0.003158459695405327	0.0016735096954835172	0.004400689055032671	0.0070698986045317725	0.009026034641469777	0.00774485644455126	0.0044278421526541935	0.003810785691748606	0.005263007945613935	0.0922952387854457
1:Ins:T:3	0.002256404446106899	0.0018994286092492985	0.0014838696910737781	0.003358648969515343	0.006713909657555632	0.004997238751639088	0.0044641403417335825	0.0030366042845707854	0.0008604824008216383	0.003425883425274634	0.003417888539817682	0.016691629304841627	0.0125943768017396	0.0041528209052921735	0.010162717839702963	0.007915360245970077	0.043028270422946664
1:Ins:T:4	0.0023230917954060715	0.04341532501159236	0.0023891274820448415	0.0018894276212813566	0.013651571040973066	0.019759816816076636	0.007499452468618983	0.002301657360694662	0.002003976750129368	0.00048364088717789855	0.0025059415629011994	0.006048998891419615	0.007538792351286929	0.007723050155909732	0.0045910338530666195	0.011085738898837008	0.014914882878074423
1:Ins:T:5	0.14177267311140895	0.4160219261050224	0.013678274904959849	0.03962402529665276	0.14620004162206895	0.7336319679021835	0.4813277408480644	0.10899800167419016	0.01320960277429549	0.20350332725793124	0.05498472413750278	0.042532629086636006	0.22102802444249392	0.2893022256717086	0.046507295214869376	0.41708105474710466	0.05354391612112522
2:Del:R:0	0.0048246682976969164	0.00062837374083756	0.0034021085331914945	0.007082435944103054	0.0028483635079101077	0.00218264667870244	0.006072463650925783	0.003270813399394683	0.0029926377407355174	0.0029290233812935187	0.003954707552911714	0.04650345859117806	0.01798760503064841	0.006149116561264236	0.026555558510590344	0.012010693328920751	0.025776279549581886
2:Del:R:1	0.008195019312697695	0.00046684270064361043	0.002211869014063268	0.016442746012180577	0.007739379237755202	0.004223716391570633	0.011377673383976798	0.0047010942979250105	0.004698186036930565	0.0015373227559030056	0.0182805580612694	0.0206365063865087	0.025090912978339475	0.013541909628766008	0.07429329025559127	0.024687147865624866	0.04741201363300206
2:Del:R:2	0.0032873781007219803	0.00025248435285902816	0.002987681744452857	0.0054869005188538725	0.008018123138463125	0.0013270739594008773	0.00412337491659855	0.0002635900996210694	0.001705139291426576	0.0003016141342232004	0.004954081295290962	0.006842540637298953	0.009237065784699895	0.00531752409056935	0.024128985206771175	0.008397456148013589	0.010629187962622381
2:Del:R:3	0.0049292252837142315	0.0003015652669319024	0.039557382302543825	0.0018859348592434344	0.054643511993937466	0.00010777905878057936	0.0001586194978108324	5.249470019123237e-05	0.0004300715564465207	2.1648234466482562e-05	0.0002588454233203663	0.0002821701768629481	0.001232910874739943	0.00506121254769738	0.00037846892712678937	0.00034549075508209624	0.002206516047757958
2:Del:R:4	0.0018992533293203451	0.0004783481465915429	0.012613474184181541	0.0012058871485709232	0.024217250016762934	0.00022223678010050208	0.0011337081040255726	1.6817556388559752e-05	0.00025471033344786064	0.0015085422904979851	0.00040394462702437296	0.0004296596731637692	0.0017491462532318281	0.002823688462139391	0.00117657658945717	0.0008771227842765228	0.00024721792322907277
2:Del:R:5	0.005683938013618217	0.00012030818540637256	0.05159218994784169	0.002992421622418959	0.05298578962570559	0.0009020822918449767	0.0047222149324156245	0.0013119357523066811	0.0003082131192693538	0.00016726942489242447	0.0011977301967080222	0.0006778053487585822	0.006647896679061063	0.00986008523219482	0.002001355299076728	0.0031977132616243156	0.0002398385635763134
3:Del:R:0	0.0011504488777390521	0.00025144362930404893	0.002005497222271515	0.002112973328330554	0.0020609430667764173	0.0016354862920707092	0.002148749180196319	0.0011309539616513576	0.001635010093305027	0.001669383640983142	0.00354154477859538	0.008411639066290206	0.007982880043855403	0.002431960050635098	0.005271005299900935	0.004688856492284685	0.0038108750394673053
3:Del:R:1	0.00855437783018715	0.0005249377720429038	0.0016840672776379506	0.01566279271937674	0.008151503467815928	0.0066811064565990815	0.014088865245576017	0.002542032827004732	0.005744109676161315	0.00487656808225438	0.01806092472601449	0.008338194370593329	0.028775144736282527	0.012950819684192538	0.07253883257042616	0.02702468271832913	0.017979154991626275
