hdp.1	hdp.2	hdp.3	hdp.4	hdp.5
1	0.00174956866593094	0.0234299557635261	0.0199825515659899	0.0180898262452205	0.00921165381319623
2	0.00185106338980928	0.0301369526568095	0.0166070357570529	0.0127825504525884	0.0137744527204681
3	0.00113529486055691	0.0172800470841865	0.0157947783655106	0.0669593888177397	0.00195365426727895
4	0.00122413050508937	0.0233412649640604	0.0143834664400033	0.0422938098454116	0.00385787210980013
5	0.000915994201401363	0.0135196616108595	0.0101412551294584	0.0330065323777559	0.00155083895443793
6	0.00146102555717593	0.0150504272169907	0.0093623351972503	0.0192412443069012	0.00465800979939797
7	0.00191963957207475	0.0100989512250309	0.00492978660417736	0.0184886617825378	0.00548195021202733
8	0.00272012275901599	0.00962515856961205	0.00304571028477093	0.0245182111690658	0.00346787364782223
9	0.00036728603700587	0.00943634834202111	0.00909571396365762	0.0166467784391479	0.00182182380125825
10	0.0195854958437997	0.00186564182985948	0.00419440147180569	0.00613289962646117	0.00259449681043511
11	0.00606947332356898	0.0571303617979887	0.0135320277286083	0.128384452611077	0.0133405107698167
12	0.0016586355131248	0.0447364119882282	0.00470277811638178	0.0100592448556749	0.00502420553834436
13	0.00252493110672384	0.0406006569774451	0.006474605249183	0.0397991599606819	0.00232717392100426
14	0.00261443301859029	0.0259657398905101	0.0111636953969676	0.0745099538597405	0.00609349709606779
15	0.0029569684579667	0.0290427235369338	0.0142983970878906	0.00896019805547327	0.00755461809446385
16	0.0011691017586151	0.0275560875208977	0.0159299323477055	0.0255706700372768	0.0047916712441134
17	0.00210668795695143	0.0193391077216405	0.00633329364214646	0.0690807997530733	0.00641941130373007
18	0.00213837267016801	0.0203584857052639	0.00565791593657631	0.00729063651110153	0.00463603805506119
19	0.00133932072416646	0.0185748584993059	0.00821019260266094	0.0280243011221159	0.00207632983982598
20	0.0634261578628158	0.0152500441701994	0.00730933601037054	0.00531081004954171	0.00896080973201796
21	0.0270583996150061	0.00979862542812745	0.00150222513813867	0.00176263030965874	0.0053995561707644
22	0.039692432244437	0.0111868360056669	0.00672887201255183	0.00384880577459024	0.00346421169043277
23	0.0201470851766524	0.00607225201779807	0.00380960875000843	0.00213319179169904	0.00298998820849721
24	0.024866577498711	0.00615371667520368	0.005650503254442	0.0012923599432891	0.00242970872790924
25	0.0167442851659724	0.00551223064920955	0.001747863382621	0.00247687150148728	0.00336716981961198
26	0.0174843354380636	0.00508740589672963	0.00236825389055995	0.000666475174201381	0.00322984641750709
27	0.0141197841076684	0.00407125577553581	0.00236244925058176	0.00160583782130412	0.00487589626407107
28	0.0144165691901106	0.00486702712816718	0.00419346017883625	0.00145836291934761	0.00095943283603952
29	0.102663751607247	0.00087977467394633	0.000778410065182969	0.000149831073229589	0.00220083639106775
30	0.061988649074873	0.00115725017513184	0.00347733233179761	0.0025515192913665	0.00391463244933682
31	0.0567040139941804	0.00075784454921778	0.000625763721972806	0.000661762831655204	0.00281421425380294
32	0.0462697493359165	0.000529485465130405	0.00132283038638037	0.000650303271372455	0.00517251481261764
33	0.0531106121728424	0.000758380592511254	0.00106872050517311	0.00187636912293238	0.00220816030584668
34	0.0514510142735685	0.00048596849594202	0.000720128342158739	0.000524569404344908	0.000763518115703206
35	0.0365125356718297	0.000286808687879677	0.000914387678726042	0.000241721752880045	0.00110408015292334
36	0.0253357284081141	0.000243841685187195	0.000928585514348364	3.459287823671e-05	0.00521096536520701
37	0.0236699366902909	0.000331901299476152	0.000232852348314168	0.000157113784437317	0.000340562037220135
38	4.57256803662911e-05	0.00075051862420697	0.00174680442803039	0.000658656969522496	0.000871545858692388
39	4.23696671283982e-05	0.000211572343026811	0.00020355460464048	0.000785676020880818	0.000629856670987776
40	0.00631730009524662	0.0165910202835023	0.0104859252384334	0.00940358664959085	0.00276843978643464
41	0.00754456452446255	0.00216104113363717	0.00573937699897289	0.000806024772784765	0.0129267095848073
42	0.00261273033540342	0.000564256342660333	0.00308547991272959	0.00168862511194491	0.011207420590454
