hdp.1	hdp.2	hdp.3	hdp.4
0.0365543186506792	0.0073002919476387	0.00727230129008505	0.00567535582099409
0.027125325969137	0.0032104990148635	0.00641807085984596	0.0111489508899142
0.0237377875562138	0.00744687058173929	0.00551939962141638	0.00372962802308897
0.027025362008193	0.00552302600916899	0.0038002469346999	0.00857201700132199
0.0147673228106965	0.0110654416677518	0.003947236302376	0.00191600703819013
0.0116549343700065	0.00729602266703382	0.00188845543088989	0.00200988274178329
0.00965349646093814	0.00200478301737099	0.00315966708442266	0.00255035541184266
0.00671557446814164	0.00412056733046865	0.000600043882973778	0.00216306903634954
0.0112526430808915	0.00551786729510477	0.00195623231200051	0.00372609295475283
0.00396457290508389	0.00828471690044536	0.0118006151054121	0.00755522660508141
0.0194718836415067	0.0211256456397481	0.0116565078822002	0.00389603809180153
0.0102394424689969	0.00725137310737454	0.00629860132318323	0.00279715555308828
0.0153686564052129	0.0132338804416428	0.00682296567087026	0.000879970158786105
0.0199575889334692	0.00570055692765491	0.00404978486186161	0.00527000131844956
0.0190392046366894	0.00646653702284563	0.00655743649055214	0.0054459691645154
0.0162791255046423	0.0131525862234584	0.00175438922710183	0.00417517756190003
0.010781993269204	0.00805008435386929	0.00739437405400581	0.00321049669150336
0.0112524216767698	0.00674261716862733	0.00624012168227983	0.000785832598279155
0.0133325687510998	0.00237478733645987	0.00576391703886618	0.0034409307756372
0.00762593286551011	0.00662112055808036	0.0305212590694578	0.00952844937893432
0.0054751578763603	0.00125552427121601	0.0201338244755427	0.00881253257663668
0.00415614282137818	0.00476665179533923	0.0152226503084824	0.00309305386566924
0.00495585450893092	0.00421804923761322	0.0207481861084356	0.00470740173917506
0.00306860577562541	0.00391777650173724	0.0171573130232022	0.00338803567905193
0.0032018910568842	0.00178544872629571	0.013529343949542	0.0032639155019162
0.00504607668852055	0.00408338901186789	0.0141531887674463	0.00102137289223187
0.00438291599302156	0.00124716359669814	0.0156400963937865	0.00100448312129252
0.00303755384755806	0.00194430154213531	0.0077625447662116	0.00170691429253005
0.00379780025041913	0.00558635367147459	0.0669286938865067	0.0051285985850038
0.000742700126216955	0.00964626164001568	0.0615318318910215	0.00574618811617387
0.00208822832477173	0.00226058408027955	0.0339138220210713	0.00411089168956496
0.0004711479709613	0.00811305624279114	0.0452413005723381	0.00530875614169025
0.000927849322982174	0.00498420721949581	0.0472962695753393	0.00972916270335317
0.000491240395004879	0.00167373588380157	0.0297760852668494	0.00239481240505232
0.00199955597403395	0.0083964297429395	0.0235944432254729	0.00184347267307073
0.000253839825520268	0.00121372089862664	0.0196984347166387	0.00349880115358445
0.00149984687137433	0.00134891478444758	0.0227389111816049	0.00124238012746933
0.000629009109727938	0.00137186216769877	0.0605500433251394	0.00318863163920202
2.15869018650032e-06	4.26928060487168e-06	0.0381272383105799	0.000162744071919525
0.0100730572715451	0.0193072878754565	0.0169457078360859	0.0129797235026662
0.00475592658704273	0.00530155707779127	0.00368895896941952	0.00841621213761785
0.00287277382998854	0.00274514742893249	0.00376491742191248	0.0142933287106859
0.00891151589811669	0.00426163147712128	0.00557341658702031	0.0185995656579371
0.00384213642578802	0.00262098251800747	0.00158964213062994	0.00165205526909137
0.00626479567637603	0.00311283922102706	0.00298460005132077	0.00313076126125477
0.0082339639347077	0.00483958533900578	0.00224565539965117	0.00435062169413829
0.00413084740047483	0.00611289827940876	0.000992015530110042	0.00370592997239112
0.00712483998708993	0.00290506756492331	0.00245512222151976	0.000801020299278885
0.0189022661874227	0.00382171768812763	0.011518350892721	0.00341121001592221
0.00158979229581185	0.00129590455027042	0.0177768811106111	0.00127943288077039
0.00551041648273981	0.00910851017049372	0.0237828982844732	0.00254616570122205
0.00733772005009711	0.00306267517391982	0.00955839968463761	0.0303048315611948
0.0123234087644261	0.00289368281664365	0.00815823530943075	0.0324019126552697
0.0119401028787462	0.00999527532946394	0.00683300669029405	0.0328934180824506
0.00200503572604583	0.00466080921367678	0.00683365749710856	0.0130475444433374
0.00544703955290537	0.00405083574725574	0.00142136208287932	0.0182975137078821
0.00625173283319618	0.00451280748604123	0.00446007207220609	0.0156268350441537
0.00213217704292766	0.00403749424536552	0.0031946247076018	0.0198151054517431
0.00362189467573457	0.00564701303340214	0.00244554606410633	0.016470668948837
0.00281277331300991	0.00411932212362556	0.00679191288857815	0.0186346544843848
0.00888478135042234	0.0140048413642059	0.00464722551757736	0.0428187116142313
0.00690841745813566	0.00946606242115172	0.00615124006589884	0.0401777537102179
0.00280214591516868	0.00424971306876601	0.0105526465523974	0.032375596035434
0.00349702275110009	0.00605206103078934	0.00675872174103839	0.0256007030334421
0.00264041020427242	0.00579999558841004	0.00536897027486361	0.0238708762609556
0.00357318576896225	0.00601826255933411	0.00303489812084181	0.0223992404054645
0.00222511142300802	0.00615203335162008	0.00280023577801165	0.0245223762624613
0.00212979694861946	0.00342894387247943	0.0021002465628103	0.0213004887952081
0.00203049720004045	0.00262969896590908	0.00321591538767632	0.0279104119415132
0.0278534687743527	0.0304289417378391	0.00778690353555451	0.00751581713955625
0.0436298408696621	0.122409880823032	0.00574178960717301	0.0152639013616429
0.0310051010956128	0.0172518071509027	0.00352569943138079	0.0291863097539475
0.0435095630805527	0.0155312870671394	0.00746084932148741	0.0063056454124829
0.0574032252270513	0.00852450816108565	0.00176526699814427	0.0229157531679122
0.0384593350647505	0.00398110416404284	0.00184550218113255	0.0110034893743047
0.00632457478923296	0.0419753890204064	0.0171231921516417	0.0203486389135871
0.00706738561751076	0.212557163888432	0.0156436293450652	0.0227621740879753
0.0128548893585485	0.00231644050152662	0.00228479678092355	0.0122406323634982
0.0145940187344419	0.001679961918017	0.00245819031078815	0.00657732196053842
