hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36
0.00225294172244832	0.0625263701181947	0.00832973927156216	0.00338354350235306	0.00126621790031701	0.0160197438200833	0.00744695163098899	0.0151757040684854	0.00139110590932546	0.00563396646010372	0.00174990905105822	0.000914364436429603	0.000782191338310539	0.0684305816685791	0.00176300704964112	0.00815468548836403	0.0352855127789249	0.00269578562418285	0.0215899714229933	0.00943850028983278	0.0265158269706945	0.00498273710883821	0.0096267895986233	0.00368016527785952	0.0197485550379314	0.0152217034627999	0.000732820265744482	0.00993332679578584	0.151866377574482	0.00177588419257712	0.00282445515203959	0.000405848287891169	0.000181509179689244	0.00499565629114534	0.00668697187186423	0.000918426300240379
0.00302199964950706	0.0340108876283895	0.00831907523535153	0.00491762813204881	0.00102429386613089	0.0160628817053563	0.0197244531682214	0.0255054183148769	0.00176018531267153	0.0178807476434871	0.000477617972186182	0.00209903563640423	0.000883203964687214	0.14129823515166	0.00467354925101981	0.00376921130758087	0.111113945874113	0.0053735226816429	0.0269781383688571	0.00723816552996716	0.0250763781684863	0.00247415121885337	0.00969310896384946	0.0103907775313003	0.0265715024987641	0.0364122973755357	0.000397772344913241	0.0134654124447151	0.154120380130954	0.00247310454332424	0.00432467097118126	0.00028760946583334	0.000326370623905477	0.0120592525451222	0.0134611269325006	0.00103880596178898
0.000286416645356028	0.0944572040153553	0.00636977754976692	0.000543204203125075	0.000356481889802173	0.00984530939227725	0.00340999927262394	0.00775464386034377	0.000898748777308839	0.00477367408572576	0.000549652428161748	0.000418921057452927	0.00114367470836795	0.063697719303799	0.00597677744828647	0.00331221934578004	0.0155792532559809	0.00146400577706903	0.0169052059024708	0.0563675052604454	0.0195436078236265	0.00306950926440039	0.00640713700236496	0.00144691499768388	0.0122067714677169	0.0136813143300334	0.000156054389188387	0.00623181779638292	0.0256705325455179	0.000987191370843804	0.00127920959864759	0.000144142236690384	7.26949509196984e-05	0.00644522396004004	0.00695579419590874	0.000917109309067088
0.000875973883013046	0.053522262643415	0.00589365076144934	0.00115871770996387	0.000259576932757111	0.00964788327535418	0.0070073839383375	0.0176181164586554	0.000779325619087271	0.0105006197830607	0.0012372561923956	0.00126286443564961	0.000331563659625249	0.0629303116096759	0.000930195261744738	0.00612645668747995	0.0421575619863832	0.00202508082169405	0.0232837280098566	0.041149906867854	0.0229204858329656	0.0019701723394996	0.00751055122011909	0.00316685955542193	0.0151282632288614	0.01186396362788	5.45685914814944e-05	0.00308597525639321	0.0371535584354953	0.00115352336544839	0.00141284432036249	0.00038475430203404	0.00017107614509861	0.00395831676137304	0.00408652329365643	0.000899354934389167
0.000442904706809156	0.0928328066109558	0.00373259763241825	0.000857175174738643	0.00073521476752132	0.00485702448166665	0.00497448295975472	0.00317163746418707	0.00154465486458868	0.00138225810648483	0.000688650810874683	0.0006348295121572	0.000337759180362825	0.0262239747668503	0.00192335837176315	0.000989160293138374	0.0111981762873376	0.00058857816886823	0.0131847098236054	0.0665359110032351	0.0134312280516948	0.000828843874005012	0.00304079779299122	0.000597271985930516	0.00700096057430677	0.00920789891525147	0.000245055715653697	0.00709070178020333	0.00797799658611776	0.000469985640051201	0.000791755952295931	0.0001559267434559	5.51357453500433e-05	0.00200006763164916	0.00206898837667103	0.000783509723462528
0.000481845931455873	0.0385678008558479	0.00240159245575432	0.000334770669082838	0.000437486241584511	0.00429046002220622	0.0024896801690813	0.00418170222857637	0.000565679627668367	0.00153021853749318	0.000254385275446619	0.000664039310162053	0.000443870852232036	0.0177604696884568	0.000741917455570528	0.00198296302943963	0.0109350557053105	0.000424825658791187	0.0157183067303812	0.0500490991430569	0.0111352711448981	0.00211289534218148	0.00296993530493947	0.000696222911237084	0.00593555950927829	0.0037154606576841	0.000267074241704618	0.00238628301751165	0.00787875615643764	0.000597520856594225	0.000624826744944401	0.000166726864214751	9.0350239693565e-05	0.000924038466282675	0.000811094660525342	0.000703706726670785
0.00273845760877092	0.0527237892130357	0.00424531032882112	0.00172751873825951	0.00599698408361962	0.00483473483006223	0.00357182409544338	0.00419275003370033	0.00044527997826639	0.0025847231339699	0.0013424432038079	0.000475988668983413	0.00217187725642409	0.00922256019067426	0.00174826742818287	0.0018317754308394	0.0128095986266408	0.00146672019233494	0.00962991442592255	0.106298105336025	0.00897617530395611	0.000450491250109869	0.00247237620856812	0.000977188844387286	0.00719959621770744	0.00945390864282033	0.00483412670839913	0.00357546818744908	0.00943233872592191	0.00103350790668335	0.00151958038945189	0.000448992520297618	0.000105803621704251	0.0094379244352306	0.00415779821210821	0.0104642450566486
0.0026276361221677	0.0274199950091754	0.0029563468031474	0.00110970057494094	0.00312247239533028	0.00374408239070129	0.00189100663985153	0.00337063782808996	0.00128636438165846	0.00181095014823405	0.00122835041366401	0.000642920619271291	0.000566198160840876	0.0071321984484225	0.000628218425894178	0.000281936743645553	0.00960686853798283	0.000805558460907825	0.0100929018778778	0.0677460274455355	0.00684635291504095	0.0010892343015416	0.00235735890834492	0.000490515080869193	0.00436052396976695	0.00540828630652024	0.00465326552051686	0.00388236767370964	0.00348281910088343	0.000785489875391585	0.00118283150576042	0.000906703888082849	0.000130753227064509	0.00229069117740323	0.00257100266321574	0.00986428055872967
0.00104083729193997	0.0503640367237435	0.00362162169475092	0.000365593015445886	0.00214032095918474	0.00910893180672885	0.0025535522003109	0.0091125591874435	0.000923469422454977	0.00517595141700992	0.000707556473254682	0.000446182611156957	0.000408082945681418	0.0110783187904285	0.000360958497188985	0.00201389964648302	0.0129597730093069	0.00011374153968415	0.0107846115697738	0.0767603445387076	0.00979209981242368	0.00224232682978071	0.00388435853544252	0.000273378450345692	0.0109018829233395	0.00610232785905471	0.00182056607982015	0.00279727315852331	0.0131752485429863	0.000761779348484385	0.000550384223334263	0.000512161976611101	9.85573467199656e-05	0.00765844187992398	0.00759871165722987	0.00250460046688837
0.0191955506885162	0.0197115923498849	0.00772344968434677	0.00961352494382566	0.0167849128532103	0.00749593699621645	0.00158899550556508	0.00155953005710066	0.000981219453492834	0.00380152576368819	0.00147214757701231	0.00103231294904734	0.00114691684005164	0.00230326240931457	0.00243057748376817	0.0139339186369625	0.00753208675666622	0.00792358961021463	0.00176990430158237	0.0215392262510359	0.00217947262039403	0.000126296190694653	0.00235750189199462	0.00139498320641251	0.00561794213330051	0.00719896518545445	0.027487529168354	0.00169365819819718	0.0114173335385754	0.00938313256857506	0.008107216267899	0.00379117989013015	0.000919588326707396	0.00883236845915006	0.00262207757988364	0.0301329580942077
