Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP127630	9.07E+00	1.30E+01	1.90E+01	1.65E+01	2.42E+00	1.57E+00	2.77E+00	3.26E+00	6.62E-01
SP127634	9.14E+00	8.41E+00	1.59E+01	1.65E+01	8.75E+00	4.54E+00	7.83E+00	6.96E+00	6.73E-01
SP127636	1.06E+01	1.07E+01	1.58E+01	1.49E+01	3.64E+00	1.49E+00	3.43E+00	2.63E+00	6.17E-01
SP127628	5.50E+00	6.87E+00	1.03E+01	8.14E+00	2.46E+00	4.31E-01	1.70E+00	2.21E+00	2.91E-01
SP127640	8.78E+00	1.36E+01	1.81E+01	1.25E+01	4.17E+00	1.43E+00	2.99E+00	2.63E+00	4.03E-01
SP127638	2.22E+01	1.26E+01	2.48E+01	2.77E+01	4.07E+00	1.82E+00	1.60E+00	3.63E+00	4.39E-01
SP127632	9.47E+00	2.23E+01	2.99E+01	1.70E+01	6.02E+00	2.82E+00	3.14E+00	8.56E+00	6.88E-01
SP59388	4.34E+00	3.98E+00	7.11E+00	6.05E+00	1.09E+00	4.56E-01	1.08E+00	1.71E+00	1.80E-01
SP116649	9.50E+00	9.80E+00	1.46E+01	1.23E+01	4.63E+00	1.10E+00	3.54E+00	2.30E+00	0.00E+00
SP59416	4.82E+00	5.99E+00	8.37E+00	6.32E+00	2.47E+00	1.01E+00	2.29E+00	1.37E+00	2.12E-01
SP124977	5.75E+00	1.11E+01	1.37E+01	8.85E+00	2.35E+00	9.22E-01	1.44E+00	2.23E+00	6.20E-01
SP59356	3.62E+00	4.07E+00	6.02E+00	4.95E+00	2.11E+00	7.08E-01	1.48E+00	1.99E+00	0.00E+00
SP116612	4.79E+00	9.36E+00	1.22E+01	6.26E+00	3.15E+00	1.46E+00	1.82E+00	3.04E+00	0.00E+00
SP116659	8.23E+00	4.50E+00	1.05E+01	9.64E+00	3.59E+00	1.05E+00	3.15E+00	2.85E+00	3.05E-01
SP116668	1.50E+01	1.66E+01	2.30E+01	2.15E+01	1.40E+01	1.27E+00	1.10E+01	5.27E+00	3.32E-01
SP116630	1.04E+01	2.60E+01	3.10E+01	1.55E+01	2.86E+00	1.84E+00	1.05E+00	2.52E+00	0.00E+00
SP59412	6.61E+00	1.01E+01	1.49E+01	9.70E+00	2.63E+00	1.26E+00	2.24E+00	2.81E+00	2.77E-01
SP116686	3.07E+00	4.10E+00	6.22E+00	4.89E+00	2.49E+00	1.54E+00	1.06E+00	2.21E+00	0.00E+00
SP116694	7.91E+00	9.95E+00	1.40E+01	1.11E+01	5.48E+00	1.43E+00	4.07E+00	2.71E+00	5.13E-01
SP116712	1.80E+00	1.63E+00	1.95E+00	1.86E+00	9.01E-01	5.66E-01	5.38E-01	6.77E-01	1.94E-01
SP116726	8.10E+00	7.88E+00	1.43E+01	1.22E+01	2.94E+00	1.14E+00	2.00E+00	3.21E+00	4.59E-01
SP116723	1.86E+00	2.55E+00	3.59E+00	2.27E+00	1.83E+00	6.61E-01	1.49E+00	1.31E+00	2.53E-01
SP59276	3.02E+00	1.49E+00	3.50E+00	3.85E+00	1.30E+00	5.49E-01	6.69E-01	1.32E+00	6.31E-02
