Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP29914	313	168	273	160	89	0	17	0	76	38	7	64	250	0	0	0	0	22	0
SP31046	14	0	0	80	15	9	13	0	0	0	0	0	0	0	10	14	23	8	0
SP31334	12	0	18	38	10	90	45	0	21	103	7	9	77	80	13	0	7	0	0
SP30011	15	83	0	111	257	100	0	68	18	1	0	33	0	0	20	0	0	0	0
SP31174	76	0	21	172	0	43	0	0	38	27	0	0	0	91	11	10	0	3	0
SP32662	96	73	0	131	26	53	71	0	43	15	2	42	0	105	15	14	0	19	34
SP31126	109	0	60	27	527	85	309	99	82	34	7	159	0	0	43	3	8	0	0
SP32958	24	63	0	247	0	0	106	10	8	13	2	32	0	0	10	3	19	6	13
SP31422	100	111	20	51	105	52	0	4	66	110	4	26	0	74	9	17	0	12	38
SP33496	254	203	67	186	0	27	117	7	26	135	6	152	0	0	1	8	0	9	0
SP34005	12	13	6	104	24	2	0	13	4	0	0	28	0	35	5	9	0	4	0
SP30113	42	27	2840	172	81	0	0	72	64	162	0	78	0	0	18	0	21	5	0
SP31030	223	189	11	41	0	4	151	0	11	0	0	26	231	0	13	77	0	0	5
SP33544	50	0	57	256	98	165	0	4	139	166	6	73	44	87	0	8	0	43	0
SP33688	16	0	5	136	52	926	53	19	3	3	8	66	0	0	10	7	0	41	0
SP30907	49	55	147	26	66	83	10	72	24	149	0	9	0	0	13	0	19	15	0
SP30185	4	0	2	31	0	13	3	8	0	3	0	16	0	0	15	2	6	0	0
SP33837	0	4	19	72	12	5	0	6	16	0	0	23	23	10	3	22	0	1	21
SP31790	87	17	0	125	39	36	0	11	22	0	5	45	0	0	16	30	0	15	28
SP30143	23	3	0	141	38	5	0	24	12	7	0	26	0	5	18	9	8	5	0
SP30071	110	63	99	0	5	7	206	37	54	153	0	37	0	0	22	19	0	0	0
SP30493	5	0	0	51	17	0	0	8	10	6	1	31	0	0	11	24	22	0	0
SP32014	125	0	10	140	23	42	0	0	9	0	2	6	0	0	4	28	0	9	30
SP30332	136	35	1641	45	0	2	96	118	55	58	5	29	0	91	62	0	0	2	0
SP31814	11	17	17	94	3	66	0	0	1	9	5	15	80	0	10	0	0	10	47
SP29987	103	0	0	0	58	0	409	86	45	230	10	11	0	113	0	15	0	0	48
SP30083	56	4	0	25	22	15	138	2	12	22	1	7	0	0	4	19	0	10	0
SP32742	0	0	16	213	0	9	76	0	17	21	3	43	0	19	8	31	3	13	71
SP115162	0	33	6	29	12	19	11	10	32	0	0	9	0	0	8	15	3	6	11
SP29940	33	57	4	0	0	0	79	4	9	0	0	10	113	0	6	36	0	0	32
SP30843	3	21	0	64	28	0	0	0	0	17	2	1	0	0	5	16	0	0	13
SP32222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
SP31190	60	30	14	183	32	13	0	11	69	138	0	2	50	98	3	0	0	0	0
SP30077	142	41	49	193	15	127	0	13	95	205	8	115	0	16	32	38	0	0	0
SP32694	84	50	12	0	25	19	295	27	67	126	3	33	0	0	13	0	0	4	60
SP33774	0	0	25	82	4	37	46	0	10	8	0	7	51	21	6	0	0	0	0
SP30093	145	0	16	135	0	17	8	3	10	15	6	0	0	30	1	52	0	3	0
SP33094	102	0	0	200	32	15	0	65	26	61	5	34	0	55	36	0	0	15	0
SP30803	0	85	27	17	113	47	43	0	33	81	5	171	0	0	0	8	0	0	14
SP30675	0	0	1854	70	0	0	0	336	10	4	9	54	0	0	0	0	0	43	134
SP31854	84	75	146	264	69	176	0	42	109	244	3	86	115	0	20	26	0	12	0
SP31606	5	47	1	84	11	4	116	14	7	3	1	1	0	0	0	13	4	8	0
SP30213	17	109	3	34	16	21	1	14	15	11	0	10	0	45	6	19	0	0	0
SP32894	12	24	6	106	40	0	0	3	0	4	1	18	0	0	0	18	0	0	0
SP117260	0	0	59	45	48	24	0	2	29	46	3	7	0	0	15	13	0	1	88
SP117124	157	0	13	111	18	20	0	7	11	13	0	22	90	43	19	35	0	0	7
SP117932	158	0	13	115	6	12	182	2	29	11	0	24	0	0	17	30	5	9	0
SP117189	7	3	2	2	15	3	42	17	0	0	3	5	0	0	5	6	0	1	0
SP117217	2	0	0	4	7	0	0	0	0	10	1	0	0	0	0	0	0	2	0
SP117779	55	15	10	43	12	49	0	10	11	1	2	8	0	0	9	24	0	2	81
SP117376	688	0	0	87	0	31	210	0	33	8	5	41	0	0	31	54	0	0	67
SP117681	13	2	2	0	0	0	38	1	3	0	1	12	0	0	3	0	13	0	54
SP117408	0	0	2	0	5	8	14	0	4	0	0	13	0	0	0	0	23	0	40
SP118015	63	47	15	88	5	15	0	0	46	1	3	14	0	9	14	44	0	6	0
SP117509	208	0	13	114	28	28	186	29	35	0	0	6	0	0	0	21	0	7	70
SP117482	113	0	23	99	6	10	45	0	37	0	0	37	52	0	1	0	0	13	82
SP117003	81	0	0	0	0	214	163	3	7	2	0	0	0	32	0	30	16	0	0
CPCT02060034T	0	31	19	9	62	7	0	0	7	11	30	1	0	129	2	8	0	5	0
CPCT02020356T	47	79	21	55	0	23	0	62	13	9	57	11	0	0	6	0	36	9	0
CPCT02050063T	7	23	18	0	162	33	0	17	62	41	34	62	114	81	20	0	5	13	0
CPCT02030275T	18	144	43	76	272	67	0	77	36	13	53	7	14	2	23	7	0	22	0
CPCT02070033T	15	67	14	0	41	7	122	10	25	13	25	12	0	0	2	15	3	1	13
CPCT02030294T	41	79	121	0	89	151	0	114	22	132	71	49	0	0	15	38	99	22	0
CPCT02070038T	36	146	14	133	0	1	0	115	21	8	54	9	0	0	10	0	21	20	0
CPCT02080179T	42	0	0	19	10	99	0	0	30	5	103	98	0	92	11	43	0	75	0
CPCT02010866TII	235	651	646	152	0	8	0	109	36	0	74	81	0	200	0	16	0	251	0
CPCT02330133T	31	15	191	171	268	114	0	478	43	230	35	55	33	0	4	7	0	15	0
CPCT02050427T	71	172	9	81	0	64	98	0	26	128	39	1	0	0	11	4	0	268	1
DRUP01030028T	10	50	26	62	30	54	0	17	9	7	52	1	0	0	1247	3	0	7	100
CPCT02080193T	4	127	43	86	11	114	0	32	46	90	88	17	0	0	7	12	0	80	118
CPCT02030556T	100	141	97	35	99	59	313	97	102	41	68	385	0	0	2	0	94	58	0
CPCT02120111T	16	0	0	0	11	9	44	5	0	5	96	1	3	0	4	0	0	2	0
CPCT02050341T	13	32	17	128	32	7	0	1	0	20	97	7	0	0	1	14	0	13	0
WIDE01010210T	24	33	10	0	0	1	31	8	0	7	15	8	0	40	3	9	33	5	0
WIDE01010208T	488	37	2	16	0	0	0	0	4	20	28	13	0	0	271	644	0	9	4
CPCT02290033T	71	27	153	69	0	121	0	41	39	62	47	10	0	211	13	19	0	19	0
CPCT02070323T	0	5	18	88	47	18	23	24	13	0	68	6	47	4	4	5	1	5	0
WIDE01010450T	177	350	10	0	0	16	0	0	13	45	27	0	128	0	30	91	34	26	0
CPCT02090049T	0	142	0	74	51	7	7	33	0	0	73	0	76	0	198	419	79	0	0
CPCT02010866T	195	545	650	167	214	45	0	94	69	0	78	104	0	73	13	29	0	43	0
CPCT02070363T	33	20	0	113	205	353	0	54	8	1	167	50	0	0	1	45	0	0	30
CPCT02060222T	9	0	9	27	26	0	0	0	0	1	55	0	0	33	7	0	28	4	0
CPCT02080251T	73	185	23	102	418	227	0	136	87	155	123	119	345	101	22	6	32	26	0
