Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP135192	2.00E-02	0.00E+00	7.26E-02	2.81E-02	0.00E+00	0.00E+00	0.00E+00	9.64E-02	2.00E-02	6.33E-02	5.26E-02
SP135335	4.65E-01	1.20E-01	6.91E-01	5.40E-01	7.02E-01	5.85E-01	0.00E+00	1.04E+00	2.25E-01	1.14E+00	1.27E+00
SP135278	2.27E-01	1.12E-01	2.40E-01	3.25E-01	1.99E-01	0.00E+00	0.00E+00	4.14E-01	2.73E-01	4.35E-01	4.30E-01
SP135287	1.05E+03	4.25E+01	7.09E+02	1.29E+03	1.66E+02	5.00E-02	6.79E-01	1.84E+00	2.75E-01	6.64E+00	2.89E+02
SP135345	2.61E+00	7.45E-01	3.60E+00	4.40E+00	2.15E+00	2.79E-01	4.56E-01	4.26E+00	6.73E-01	2.14E+00	3.93E+00
SP85122	1.54E+03	5.54E+01	1.17E+03	1.90E+03	2.42E+02	1.98E+00	2.72E+00	5.13E+00	2.23E+00	7.15E+00	4.81E+02
SP84384	1.88E+03	2.82E+01	1.95E+03	2.68E+03	1.02E+02	1.77E+00	5.63E-01	2.33E+01	2.31E+00	4.65E+01	7.22E+02
SP135184	0.00E+00	0.00E+00	5.80E-02	1.04E-01	0.00E+00	0.00E+00	3.00E-02	2.56E-01	1.67E-01	1.69E-01	1.01E-01
SP135226	2.06E+00	8.41E-01	2.66E+00	2.39E+00	2.53E+00	3.62E-01	0.00E+00	1.48E+00	4.44E-01	1.74E+00	3.08E+00
SP135436	1.22E+01	4.05E+00	1.42E+01	1.50E+01	1.15E+01	0.00E+00	9.59E-01	3.84E+00	1.08E+00	5.09E+00	1.19E+01
SP135262	7.74E-01	2.61E-01	1.30E+00	1.27E+00	1.47E+00	1.89E-01	5.34E-01	1.38E+00	2.95E-01	2.07E+00	2.55E+00
SP135431	1.77E+01	6.98E+00	2.34E+01	2.13E+01	1.93E+01	9.15E-01	2.27E+00	3.83E+00	1.29E+00	5.22E+00	2.05E+01
SP135425	7.12E+00	1.84E+00	9.41E+00	9.82E+00	8.87E+00	4.91E-01	1.35E+00	7.01E+00	1.33E+00	4.95E+00	1.08E+01
SP135222	4.73E+00	2.02E+00	6.01E+00	6.64E+00	5.54E+00	0.00E+00	4.63E-01	1.94E+00	6.98E-01	2.71E+00	5.86E+00
SP135230	3.69E+00	1.01E+00	3.46E+00	4.39E+00	2.58E+00	0.00E+00	3.81E-01	2.21E+00	4.84E-01	1.92E+00	3.83E+00
SP135205	1.31E+00	4.98E-01	1.45E+00	1.71E+00	9.42E-01	6.07E-02	0.00E+00	8.70E-01	2.45E-01	7.79E-01	1.06E+00
SP135180	0.00E+00	9.03E-02	1.00E-02	4.82E-02	0.00E+00	1.26E-01	1.24E-01	1.72E-01	0.00E+00	1.70E-01	9.82E-02
SP135213	2.72E+00	6.21E-01	1.95E+00	3.03E+00	1.93E+00	0.00E+00	3.62E-01	2.11E+00	1.24E+00	2.57E+00	2.87E+00
SP135217	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.27E-02	0.00E+00	0.00E+00	3.86E-02	1.71E-02	1.71E-02
SP135405	5.99E+00	2.03E+00	1.07E+01	1.04E+01	7.70E+00	0.00E+00	5.69E-01	3.51E+00	1.40E+00	5.21E+00	1.01E+01
SP135238	1.38E-01	1.63E-01	1.31E-01	1.73E-01	0.00E+00	0.00E+00	8.45E-02	1.68E-01	0.00E+00	1.86E-01	8.35E-02
SP135270	5.80E+00	1.84E+00	6.48E+00	7.83E+00	5.61E+00	5.48E-01	6.44E-01	4.12E+00	2.08E+00	5.13E+00	6.99E+00
SP135411	3.43E+00	1.06E+00	3.79E+00	4.24E+00	3.34E+00	4.06E-01	0.00E+00	2.72E+00	4.78E-01	2.01E+00	4.58E+00
SP135188	1.53E+00	3.14E-01	1.70E+00	2.27E+00	1.50E+00	3.26E-01	1.23E+00	2.07E+00	6.06E-01	1.40E+00	2.34E+00
SP135194	3.64E+00	6.60E-01	2.86E+00	4.28E+00	3.60E+00	5.78E-01	2.74E-01	2.52E+00	4.94E-01	2.33E+00	4.75E+00
SP135186	3.06E+00	7.56E-01	4.01E+00	3.93E+00	4.54E+00	3.75E-01	5.06E-01	4.27E+00	8.78E-01	3.96E+00	5.74E+00
SP135420	5.55E+00	1.20E+00	4.42E+00	6.66E+00	5.10E+00	0.00E+00	9.36E-01	4.13E+00	1.08E+00	5.52E+00	7.12E+00
SP135258	7.05E-01	4.27E-01	1.03E+00	9.73E-01	1.21E+00	0.00E+00	3.00E-02	5.77E-01	3.50E-01	4.71E-01	1.19E+00
SP135234	9.28E+00	3.65E+00	1.20E+01	1.17E+01	1.03E+01	1.10E-01	1.68E+00	5.75E+00	1.34E+00	5.30E+00	1.03E+01
SP135293	0.00E+00	0.00E+00	0.00E+00	2.00E-02	0.00E+00	1.34E-01	0.00E+00	7.02E-02	1.28E-01	1.24E-01	7.96E-02
SP135393	5.08E+00	1.43E+00	5.06E+00	6.17E+00	4.19E+00	7.36E-01	2.53E+00	2.66E+00	7.37E-01	3.01E+00	6.37E+00
SP135299	4.30E+00	2.31E+00	5.58E+00	5.43E+00	5.91E+00	0.00E+00	2.51E+00	5.60E+00	1.20E+00	5.80E+00	7.91E+00
SP135415	1.13E+00	3.95E-01	1.42E+00	1.22E+00	2.04E+00	0.00E+00	3.87E-01	2.15E+00	5.71E-01	2.92E+00	2.98E+00
SP135310	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	2.56E-02	1.71E-02	4.61E-02	3.94E-02
SP135323	6.49E-01	3.00E-01	9.33E-01	1.21E+00	5.01E-01	4.07E-01	0.00E+00	2.11E+00	6.79E-01	2.45E+00	2.06E+00
SP135390	2.99E-01	1.20E-01	4.81E-01	4.90E-01	6.09E-01	0.00E+00	2.36E-01	6.04E-01	3.23E-01	6.03E-01	7.87E-01
SP135209	5.86E-01	1.07E-01	6.58E-01	6.88E-01	7.25E-01	2.89E-01	5.33E-01	8.42E-01	0.00E+00	1.12E+00	1.19E+00
SP135240	5.43E+00	3.35E+00	8.02E+00	6.91E+00	9.98E+00	3.00E-01	5.68E-01	3.26E+00	1.09E+00	3.92E+00	9.47E+00
SP135182	3.27E+01	7.45E+00	2.42E+01	3.65E+01	2.21E+01	0.00E+00	1.50E+00	9.17E+00	1.88E+00	8.55E+00	2.68E+01
SP85251	1.63E+00	1.03E+00	2.60E+00	2.69E+00	4.07E+00	4.23E-01	0.00E+00	3.24E+00	7.37E-01	4.52E+00	5.92E+00
SP84408	1.45E+00	7.04E-01	2.02E+00	2.20E+00	2.31E+00	3.00E-02	8.52E-01	2.71E+00	3.37E-01	2.81E+00	3.37E+00
SP84491	2.99E+01	8.58E+00	3.83E+01	4.40E+01	2.26E+01	2.90E+00	5.50E+00	1.83E+01	3.07E+00	6.09E+00	3.22E+01
SP84743	2.85E+01	2.50E+00	1.58E+01	2.07E+01	1.35E+01	1.52E+00	3.23E+01	7.39E+00	2.30E+00	6.41E+00	1.42E+01
SP83967	3.49E+00	8.29E-01	2.77E+00	4.36E+00	3.25E+00	3.24E-01	4.10E-01	3.64E+00	8.12E-01	5.76E+00	6.79E+00
SP105253	1.52E+01	7.81E+00	2.36E+01	2.27E+01	1.78E+01	1.19E+00	4.72E+00	5.18E+00	1.41E+00	5.46E+00	2.16E+01
SP84998	9.47E+00	3.03E+00	9.52E+00	1.22E+01	7.10E+00	5.26E-01	1.89E-01	3.17E+00	8.07E-01	4.07E+00	9.16E+00
SP84062	1.04E+00	5.65E-01	1.50E+00	1.69E+00	2.44E+00	7.35E-01	2.47E-01	2.00E+00	5.78E-01	2.83E+00	3.87E+00
SP84982	9.27E+02	7.54E+00	7.00E+02	1.18E+03	3.85E+01	1.06E+00	3.35E+00	1.15E+01	1.47E+00	6.99E+00	2.53E+02
SP84790	7.15E+00	2.10E+00	9.73E+00	8.31E+00	9.54E+00	8.84E-01	4.62E+00	6.30E+00	1.02E+00	8.44E+00	1.17E+01
SP105673	4.25E+00	1.04E+00	4.24E+00	5.71E+00	4.12E+00	6.68E-01	7.46E-01	6.29E+00	6.44E+00	6.34E+00	7.00E+00
SP85339	1.43E+01	6.31E+00	2.31E+01	2.20E+01	1.76E+01	9.24E-01	1.18E+00	3.40E+00	1.06E+00	4.19E+00	2.11E+01
SP84719	1.16E+01	1.11E+00	1.36E+01	1.63E+01	4.81E+00	0.00E+00	9.79E-01	2.62E+00	9.86E-01	2.99E+00	6.30E+00
