C.PH.Lung.2	C.PH.Breast.1	C.PH.Liver.2	C.PH.Esophagus.2	C.H.Lung.2	C.H.Ovary.2	C.H.Other.4	C.H.All.8	C.H.Colon.3	C.PH.Bladder.8	C.H.Skin.12	C.PH.CNS.3	C.PH.Skin.14	C.PH.Colon.4	C.PH.Skin.2	C.P.All.7	C.H.Lung.12	C.PH.Colon.8	C.H.All.19	C.PH.All.29	C.H.All.22	C.H.All.24	C.H.All.26	C.PH.Prostate.15	C.PH.Bladder.12	C.PH.Bladder.6	C.PH.Colon.7	C.H.Bladder.10	C.PH.MSI.22	C.P.Lymphoid.2	C.H.Colon.7	C.PH.Ovary.6	C.PH.Pancreas.5	C.H.Breast.12	C.H.Lung.10	C.P.All.20	C.H.MSI.18	C.H.MSI.20	C.P.CNS.2	C.PH.CNS.5	C.PH.Colon.6	C.P.Lung.3	C.PH.Kidney.1	C.H.Other.12	C.H.MSI.7	C.PH.MSI.13	C.PH.Other.12	C.PH.Prostate.5	C.H.Other.9	C.PH.All.11	C.P.Liver.1	C.P.All.10	C.P.Liver.6	C.PH.Pancreas.9	C.PH.Colon.13	C.P.Kidney.4	C.P.All.26	C.P.All.27	C.P.Ovary.2	C.PH.Lung.5	C.P.Colon.3	C.PH.Uterus.7	C.P.Prostate.3	C.PH.Kidney.6	C.PH.MSI.11
DEL:C:1:0	0.0167121316280325	0.00953812915286218	0.0487524481961863	0.0142909286550397	0.11085765571275	0.0367814878563612	0.0245449719288399	0.000541551862419714	0.0227191699784209	0.00555706834333544	0.0735267497216249	0.0585217753347349	0.0259600184567351	0.232188544541686	0.0487562634859092	0.0423809022345959	0.00997410120887495	0.0300003359518021	0.00875535349756713	0.0218479928270344	0.12923590413226	0.374865790221208	0.0348954448022948	0.00996693329855209	0.00590845606484972	0.0785413602577838	0.0157797107154669	0.0554716012681717	0.0274210347896055	0.0189655199250936	0.0400950088567999	0.154024592910114	0.0890249700071739	0.142125575221439	0.0228000044427715	0.00751776035274209	0.0132843805790635	0.0221755507710087	0.0783723405156729	0.00465160412942897	0.00987404872349221	0.0392336246468367	0.0565129893339758	0.0464243243644134	0.000617224075545182	0.00132183875418815	0.329222100818493	0.0503066615718399	0.050354663316466	0.039483947966625	0.0644930537428986	0.00162103771297375	0.0204287060278028	0.0246614130682204	0.0451619215363382	0.0351923357644502	0.00590397379941177	0.0627032990332087	0.0445707387170041	0.0451063985115122	0.00425580668281007	0.0795260002103369	0.0397599625991344	0.0380255977347356	0.00480632419095163
DEL:C:1:1	0.00529161290564348	0.00389633728050721	0.0447863615481098	0.00635597971609379	0.167940864748232	0.0171583365269615	0.0209682539634488	0.000692360865421088	0.00967232073553564	0.00224776648347136	0.0726557213671137	0.0495538859228342	0.00847823791061689	0.147761466543814	0.0298787997344955	0.0162732798098231	0.00508202437658644	0.0176434954131914	0.00511489823547345	0.00781700489411509	0.0578995852548191	0.0810108052766682	0.00675982313313631	0.00250639671969414	0.00513677919474281	0.11217564827185	0.0129586747691657	0.0219425624079745	0.0077780446198022	0.00858018986848925	0.027073948692635	0.0714297757188171	0.0553369994086982	0.0673491414120615	0.0110496206237184	0.00511326208594014	0.00658637969758916	0.00781097209090484	0.0380606142150532	0.00631025385234404	0.0057581927789744	0.0383913954630424	0.0433919561764535	0.00565398354949995	0.000428631240845083	0.00451820632510456	0.124620904279569	0.0408043529931112	0.0344198262988242	0.0226157720057179	0.0795936202791924	0.000415143804542058	0.0422027254223589	0.00516826914106725	0.0334251262759198	0.11949200650941	0.00137425450177252	0.0351638934868688	0.0209403306535547	0.0212295913477	0.00211313609479102	0.040714437848721	0.0171096019203637	0.0258922067131963	0.00492253076445718
DEL:C:1:2	0.00144828052842907	0.00220966361741823	0.0275445856147425	0.00329243271309785	0.149403928706553	0.0079756255123593	0.00977057955540433	0.000708404104822978	0.00430206957913083	0.00106436466524613	0.00697256861853166	0.0288965092215428	0.00277905609909048	0.0548323043601429	0.0112102498398798	0.00563241723601525	0.00469973118893204	0.0059450137553599	0.00322626021484301	0.00522766192636975	0.0253486304386643	0.0205098556586837	0.00339399178123824	0.00227774716966652	0.00559356097541654	0.0931936734983239	0.00573596579274665	0.0101220641930127	0.00774665903803291	0.00368805024456202	0.0193260323704822	0.031590138863918	0.0252551999461465	0.0287461718281364	0.0133271943440906	0.0115450804126665	0.0109479991252767	0.0047806942512663	0.0127786270299048	0.00328326323800066	0.00283145558201555	0.017803059572957	0.0317038455344136	0.00701427333162495	0.000359198136663503	0.00330402917285874	0.0303338898784981	0.0268142776781283	0.0194930736103637	0.0122032211881583	0.0501421161409901	0.000300263850637812	0.0112802226920023	0.00824460205073934	0.0139980132214374	0.0555831166233247	0.000848243720881855	0.0180804672311269	0.00990136554920726	0.00407163993417133	0.00692418304910971	0.0177907628089369	0.0102609879299109	0.00705924127610341	0.00452607194579638
DEL:C:1:3	0.00321865877104069	0.00358703604116911	0.01378199321132	0.00305868448984989	0.0503049611064738	0.00425338786762518	0.00445633513565549	0.00102341062167106	0.00180985425512931	0.000917793701230133	0.009015210265844	0.0157449861222233	0.00234912238041141	0.0159038035770529	0.00626922385911764	0.00515657409950246	0.00265116637995432	0.00517344444983626	0.00114483339129214	0.0101953743626891	0.016508844776008	0.0109125926065453	0.00662574020647757	0.00164031198932863	0.0248334246000967	0.061960967367986	0.00462023217741325	0.00556578960483254	0.0187202872780421	0.00378777489011253	0.0087758215735126	0.0140242965359047	0.0176182725726801	0.0164912642735257	0.00782310452095863	0.0501505628467604	0.0326908204508255	0.00935112268891729	0.00798650683350514	0.00299512064539214	0.00103459841938278	0.00814216808354224	0.0157059118412319	0.00604160754308096	0.000497818781439813	0.0078118711036173	0.0127855352385361	0.0145884012748309	0.0105861357754393	0.00685707287622134	0.02378723998742	2.90310352826614e-06	0.0117902488090135	0.00249494927633037	0.0111351594847482	0.0386731400334121	0.000809850794335576	0.00843608656160465	0.00614715176878051	0.00708729496733897	0.0287886985795221	0.0086692052358225	0.00663491341008007	0.00959451360296286	0.00351271000330413
DEL:C:1:4	0.00116746121604165	0.00752025000490871	0.00714274758601301	0.0028720715371322	0.0355976332116492	0.00328310303619904	0.00218052626273298	0.00153766217455963	0.00128690761470534	0.00252420870656369	0.00251723186654563	0.0060575453728847	0.00460700038469363	0.00567444685098081	0.00481480007382701	0.00190953367078931	0.00198082982236172	0.00664827286112019	0.000625624776433308	0.00389024063697994	0.0103804768388543	0.00741506503375418	0.010128714904768	0.00161744703432586	0.0670897709880901	0.0401343606731828	0.00359818301120395	0.00283033495701082	0.062738449466573	0.00336543859723666	0.00588250094643031	0.0139609767909256	0.00855061226351761	0.0123476181313002	0.00311339343457314	0.119272369198314	0.110424050109199	0.0307236017049943	0.00681090032939331	0.00363599913534247	0.00102689948319581	0.0103826936386066	0.00584412458752013	0.00278925375169626	0.00124500738532487	0.00887331900659609	0.00275205510411699	0.00428997722434448	0.00546513282045636	0.00389573175085607	0.0147605273313692	2.94918453665131e-06	0.0058317382668361	0.00331142385255096	0.00384163603687741	0.013049853213886	0.00185536586255558	0.00483259551830349	0.0038979261807629	0.00427297423600414	0.0700181745286391	0.00544134743856308	0.00086265528980842	0.00758282188621532	0.00180783915617489
DEL:C:1:5+	0.00557177661317779	0.0284261949714445	0.00531389641370686	0.00897201430745566	0.0189363741626593	0.00232106648653028	0.00123299784369172	0.000748237796289404	0.00152672426407151	0.00261377985124013	0.00361470087456858	0.00257080443946734	0.0066632848678462	0.00255558279973458	0.00235823325680799	0.00165640402053676	0.00492542398334796	0.00613186694815517	0.000143358676848956	0.00145594385411076	0.00646433454597386	0.0101497365364159	0.0488361682815915	0.00596139083345942	0.239186303167016	0.022480195418091	0.00201101703987577	0.00442359274001067	0.248650992895334	0.00642612385216218	0.00379858307754471	0.00740064798087761	0.00415732176556765	0.00929968269819321	0.00590477927406048	0.255941689573668	0.349247722485378	0.149444303222044	0.012322734928378	0.00742035281204392	0.00143466356333148	0.00541647190169573	0.00189556703767842	0.00910014933767516	0.00736021599773099	0.00464834352377471	0.00249791804097025	0.00249167162506666	0.00699910678921912	0.00773567554809471	0.00741486787444554	0.000300402093662967	0.00270045238584995	0.00806548514187925	0.000859520595442416	0.00605418380973492	0.0134491759906604	0.00449511332828151	0.00208690561672111	0.00371929522680244	0.0851228176164877	0.00436122995342571	0.00292095860665839	0.00914271474895413	0.0044103368721209
DEL:T:1:0	0.0121472291476582	0.00616274119330516	0.0412586143551845	0.011033873527227	0.0366837714575342	0.0190000963386268	0.0238035359863524	0.000435477588219948	0.0146011333635887	0.104626273714789	0.0198756780695233	0.0711553810340389	0.014409580873467	0.0312865523115532	0.0344008209024504	0.026451994182417	0.0066050661381015	0.462131779494035	0.0168488183779263	0.0346502801691729	0.0582648930952417	0.014222704780533	0.0211244512878678	0.0094080342680063	0.00777802187884291	0.0450119546671202	0.0163737257770419	0.0229950179651127	0.0137650519188929	0.0134525728222344	0.0505929445876022	0.0577209564237673	0.0648470098864924	0.0603499527346378	0.0064078578066728	0.00505222130575059	0.008617593304955	0.0122070115244771	0.0455064538011993	0.00683198920399058	0.0788456149855774	0.0214314518087068	0.0704174651689762	0.00597989911450454	0.000672046146309241	0.000796544464343499	0.0200474845061652	0.0655188297606114	0.0411177113674263	0.0308574715264502	0.0504356372182488	0.000950190392902345	0.0527303779052692	0.0130083655059642	0.00256321013557226	0.233364835129188	0.00495141852749883	0.0461981150819223	0.024125308371043	0.034726438653163	0.00413269674557461	0.0485046438835007	0.0235393205323806	0.0289349041223331	0.00643698821867001
DEL:T:1:1	0.0068895214645922	0.00442573135022823	0.0347065967123521	0.0112370122239236	0.0322213064442392	0.00825893605967844	0.0157726650261004	0.00175144440207089	0.0118887976176569	0.144339000145881	0.00679121570576342	0.057326280694467	0.00571018615839626	0.0181540658791675	0.288753908306571	0.013757976693276	0.00410706136783	0.0221846039154916	0.00802591414514205	0.0157174089993833	0.0322108529461802	0.00522485444225033	0.00411515456862267	0.00209502635534009	0.00706646648807522	0.0523542038674748	0.0151760489383386	0.0151033043277731	0.00431722792445288	0.00649159904525168	0.0445902672699322	0.0385192973128789	0.0375261027522594	0.0337830642222913	0.00571745485570186	0.00918603992304419	0.00467458752847891	0.00347501902127189	0.0208162008303443	0.00395384545802397	0.123666276507643	0.00737548026191613	0.0662425975391146	0.00816542644744577	0.000349191420499403	0.00354878609214733	0.0165543982720757	0.0480254950563747	0.0250753235422525	0.0183870493223665	0.040740658113252	0.00044196295142223	0.0284272676377402	0.0118269402279412	0.0192033684729564	0.110458307877792	0.00166965392399128	0.0264236247397152	0.0122187898117216	0.0322822142113266	0.00568185831400444	0.0274402654011671	0.00977441110081777	0.0108884382973475	0.0160476417935999
DEL:T:1:2	0.00896730807206881	0.00710351492887469	0.0356498447148016	0.00816902964172523	0.0200730043053562	0.0127364489777754	0.0109939532752445	0.000477315089221853	0.00921691650663846	0.124700837207274	0.0150823502535935	0.0448186618870999	0.00958417477103699	0.0127186822738192	0.0263065733805733	0.0120092451858599	0.00491707588379509	0.0161698934926136	0.00293456591481296	0.0132733770297635	0.0485238432356613	0.00541751741967876	0.00579614263691858	0.00584646958135858	0.00588341723698373	0.0303374398785731	0.0112714390847584	0.0171362574698076	0.00232658494613985	0.00955960431212649	0.0342291107892062	0.048454751244003	0.040313610957764	0.0650635106056074	0.00311376677671237	0.0158063700798001	0.00279381391475973	0.00287236883343637	0.0269700262494446	0.00284036585280197	0.0941136420635863	0.020972080942844	0.0826969217750249	0.0113691018768459	0.000364232190193909	0.0800180736404775	0.0103447461014067	0.0382155041448555	0.0235546084083745	0.0172614385987542	0.0393273466268614	0.000414821237483361	0.0185476276069218	0.00367935983616773	0.161586721417833	0.0423013251298908	0.00322244476327288	0.027718634405715	0.0166947504770181	0.0254767183509239	0.00900448367642091	0.0308369229825919	0.0157200297368294	0.00473171657099107	0.0103944676386092
DEL:T:1:3	0.010089036573922	0.0148955532531318	0.0366506506889189	0.0126214670676197	0.0251368526667219	0.0193846488391848	0.0124324381460209	0.00344787976530157	0.0147960980400921	0.256948491899332	0.0104523402541345	0.027931218036943	0.00987823537350358	0.0148967910083849	0.0474094380125373	0.013077603369212	0.00450084733210462	0.0219836194167343	0.000425166951664712	0.0245670271525194	0.0619467759945982	0.0145465966296845	0.012453167641539	0.0135481817290718	0.0117579223487948	0.0272441876766935	0.012488385417309	0.0166044006919152	0.00177084426916049	0.0169864190219682	0.0300446225129409	0.0572356814588143	0.0339086698327823	0.0743338529326842	0.00622492015845014	0.0327239133371699	0.00461282411083258	0.00165357819401683	0.0316254228876573	0.00195253613073107	0.208023817317173	0.0267469626165265	0.0658148190595633	0.0122753061307611	0.00118729994241534	0.280406738428452	0.00594010761527423	0.0272639492253595	0.021710586479321	0.0120301815841868	0.0351168603350204	0.000511268788033536	0.0113543422868522	0.0297408700753112	0.196745037607535	0.0120015354422236	0.0020082453885746	0.0242822129076877	0.0207344403168051	0.0265119937180539	0.107862532136958	0.0330150161715922	0.0176705035425047	0.00429216492108631	0.0298102503337675
