C.H.Colon.3	C.H.All.2	C.PH.MSI.1	C.H.All.4	C.PH.Lung.3	C.H.All.6	C.H.All.7	C.PH.Other.3	C.H.All.9	C.P.All.12	C.H.Bladder.6	C.P.Kidney.2	C.H.Breast.13	C.H.Colon.7	C.H.Ovary.1	C.H.All.19	C.H.All.20	C.PH.CNS.6	C.PH.CNS.3	C.H.All.24	C.P.MSI.9	C.H.All.28	C.PH.Other.4	C.H.All.31	C.P.All.1	C.H.Bladder.1	C.PH.Other.1	C.PH.MSI.6	C.PH.Lung.5	C.H.Bone.SoftTissue.1	C.H.Lung.11	C.PH.Breast.2	C.H.Prostate.7	C.PH.Ovary.8	C.P.All.5	C.P.All.2	C.PH.CNS.1	C.PH.MSI.11	C.H.Stomach.1	C.PH.All.6	C.PH.Lymphoid.5	C.H.Lung.7	C.H.Prostate.4	C.PH.Skin.4	C.PH.Skin.9	C.P.All.6	C.P.MSI.3	C.PH.Uterus.2	C.P.MSI.5	C.PH.Skin.2	C.P.All.20	C.P.All.21	C.P.Breast.6	C.PH.MSI.4	C.P.All.29	C.P.Prostate.4	C.P.Liver.1	C.PH.Liver.4	C.P.Breast.1	C.PH.Biliary.5	C.P.Liver.4	C.P.Breast.4	C.PH.Esophagus.8	C.PH.Colon.20	C.P.Colon.3	C.P.Pancreas.1	C.P.Head.3	C.PH.Lymphoid.1	C.PH.Lymphoid.3	C.P.Ovary.1	C.P.Prostate.2	C.PH.Bone.SoftTissue.4
[Del(C):R1]A	0.00227179223323166	0.0619077763402686	0.000750011120215601	0.00110875061804255	0.00816038429579401	0.0153530429453138	0.0182754978558009	0.00531009013671003	0.00138722488783421	0.00468180049931848	0.00464641958947189	0.0234299557635261	0.00716783087799571	0.0747298931400952	0.0104568597889901	0.00537587744650033	0.000915031190559267	0.00538059560686447	0.0247441616556683	0.0098727796940394	0.000856795516965054	0.000452642468624063	0.0221582168662102	0.00863024852427967	0.00714454314844149	0.0103581949896121	0.00441799406851912	0.0116609195434434	0.0128362855683634	0.0217474868807607	0.0209649995371166	0.00928250363788101	0.0148967894399199	0.00712382066218514	0.0406964663045274	0.00314507145546422	0.00269165965939664	0.000318877177807838	0.00147350981966384	0.00375740197830616	0.00786035873625636	0.00472951120456595	0.00316241968979272	0.00271290548427314	0.0228740740129848	0.0374400878279875	0.00225920966805746	0.000166759528370988	0.00137085728467207	0.0197730239030334	0.0235884712353079	0.0151725901748407	0.183041959590532	0.000468686659931679	0.000690703982238978	0.115455836511871	0.00645302858882202	0.00109204369195716	0.00930042484210857	0.0364476186845015	0.00448270010272287	0.00461260581168127	0.0211865533224919	0.000984577853330108	0.00415009483507652	0.00566673804228404	0.0128568330209057	0.00474491884868854	0.033100574906954	0.0245098416973409	0.02405511426641	0.0170962587250223
[Del(C):R1]T	0.00205378746574029	0.03370680901705	0.000501073957188247	0.000966162570053837	0.0071723526560519	0.0257810680727347	0.0396065447206059	0.00382426215178196	0.000991915243567833	0.00675744743662119	0.0100597914823589	0.0301369526568095	0.0166506368169778	0.152926749268912	0.024886745827568	0.0178784865281928	0.00216251372892939	0.00246129826422098	0.0260703039872238	0.0101398359398843	0.00105317508594605	0.000423408127615993	0.0240967192497793	0.0155995902550423	0.00828971794677137	0.0116576235965054	0.00208596855725743	0.0246391250207584	0.0181285236968472	0.0258021592882292	0.0114141716996508	0.0045205416524761	0.0169142024485484	0.0242845427697679	0.117564134750171	0.00930687878971905	0.00172447551177393	0.000500612575055114	0.00133565143570081	0.00757077347872155	0.0197389644627737	0.00362386858017147	0.00253742539532683	0.00521809190600818	0.0237005541715263	0.0217950102943568	0.0072779716896816	0.000377696632267215	0.000385561031428709	0.0321774062893043	0.0142022021969724	0.0130508821541837	0.152062548164508	0.000263414159493521	0.00124614407656307	0.017676307054888	0.0139870720546321	0.000148473788279039	0.0278741582847045	0.0242819573280984	0.0107576307342331	0.00978707062256725	0.036837517052457	0.000669981213892077	0.0206002461824674	0.00637137286474128	0.017810383095757	0.0101996831561913	0.050138079618387	0.0346415541836824	0.0307977036900428	0.0190395198791486
[Del(C):R2]A	0.000655699007716557	0.0941492727191335	0.000211998748329805	0.0013762408081006	0.00327746509474246	0.00778934568672855	0.0157089500141164	0.00285585872713672	0.000537989073199095	0.00100083083872657	0.0044889559365039	0.0172800470841865	0.00310147635255748	0.0716151974545685	0.00518662374510124	0.00449493778033243	0.00043343221946195	0.00390247993380822	0.024103824682858	0.00663411946849833	0.000389197723617382	0.000225625178573744	0.0131449967428177	0.00774010205801643	0.00464714809109534	0.00941120812613194	0.0021157120191001	0.00322929707659954	0.00169135838849224	0.0176202677029638	0.00527563278829922	0.00629298007971825	0.0112233736008238	0.002085805466353	0.0170076990896339	0.00115811398160132	0.000574248342418956	0.000112508137010443	0.000443631859342972	0.000565536739497603	0.00629032263629435	0.00147134715582941	0.00139438799315191	0.00252412642594255	0.0108651414869057	0.0614676345408519	0.0067505265845747	0.000374597067132402	6.03106921929376e-06	0.0106315633707229	0.0105105065579517	0.0053814826408916	0.0221800326559054	0.000431659332331319	0.000925529417363021	0.00785812701339057	0.0057972593973559	0.000992413984188959	0.00497221615047549	0.0280913154953795	0.00265035816760998	0.00799528892768058	0.0135590606467831	0.0011171720653367	0.0131641732453676	0.00361197721440998	0.00896215642830076	0.00225054786999492	0.0156254649792209	0.0110175438030548	0.0202280776936268	0.0134691263603209
[Del(C):R2]T	0.000595468903789448	0.0532529854794756	0.000276004251963279	0.000490421410560543	0.00234132593116587	0.0177633644515558	0.0147282719295597	0.00212802279643924	0.000342352197046478	0.0017812800523693	0.00414621170764613	0.0233412649640604	0.00477436789622181	0.0707528367585263	0.0111722619903542	0.0104974849412088	0.00128883589152455	0.0035392132324974	0.0206202780014654	0.00782272055549428	0.000354844149509839	0.00037996909357843	0.016645115362392	0.00539173103133096	0.0057116767570941	0.0175917318923585	0.00249261281292182	0.010418116960248	0.00611513018411376	0.0226300120219647	0.0138038311507967	0.00667278445115472	0.0119954093327822	0.00635815317855905	0.0471476425435547	0.00242441116941387	0.000791131193270383	0.000154389285081527	0.000429688498533418	0.00193226975098236	0.00371704019644341	0.00408137947220513	0.000745459539884139	0.00119563520185732	0.0094994604841644	0.0275497517275892	0.00174771725296691	0.000190396636641988	0.000586865774897892	0.0163477469077256	0.014299641339958	0.00438631065649319	0.037443272913019	0.000259902907034263	0.000904399994562235	0.00636223278296586	0.00720559098696918	0.000579918925225457	0.0105925065401043	0.0251034677482581	0.00448278024539285	0.00535347883696027	0.0202642108776285	0.00117345092907121	0.00515982636515634	0.0049518114419418	0.00964479839071164	0.00297055916071609	0.0236411063806707	0.0214745619127003	0.021260497570038	0.0163302526270406
[Del(C):R3]A	0.000264235803118491	0.0924541879639085	0.000365848322715603	0.000461501665072239	0.000846686682388733	0.00319046947149408	0.010337964423355	0.000924333458804009	0.00085979302237132	0.000990126588365351	0.00882789918153672	0.0135196616108595	0.00376286789839331	0.03187755239028	0.00444458232357248	0.00127082758763568	0.000632439662215557	0.00234546904484453	0.0130147780040527	0.00325762826327783	0.000197236266589659	0.000136040227071943	0.00861836787960169	0.00233958722858233	0.0020057773802053	0.00718306617948093	0.0016430922909946	0.00527361693014715	0.00109054651252492	0.0119698541826185	0.0176255718896044	0.00116445290242458	0.00679724397737922	0.0029280318568695	0.00971402852360407	0.000985301786195804	0.00022394104754308	7.7182780433115e-05	0.000511470468541474	0.000866712372044579	0.00268308663473346	0.00206773809376476	0.00116871767713392	0.000389218811419173	0.00487333930986559	0.038523803886745	0.00131163131670633	0.000376355924140506	0.000395058778230746	0.0051340139843883	0.00390361422056874	0.00510983944309292	0.00653000002952614	0.000662250303835698	0.00116431596518152	0.00479590041920868	0.00232269129236622	0.00143958783129541	0.00444907733806612	0.0206377211877316	0.00473338637442375	0.00413686348237171	0.00933481784835362	0.0021890745798818	0.00529430036058441	0.00200473204762252	0.00364034479206599	0.0027615060355052	0.00922402672741656	0.00714011642900628	0.0111446640713984	0.00759562189511617
[Del(C):R3]T	0.00051024312073407	0.0385439700098	0.000447695891826618	0.00055608433200707	0.00132138903308076	0.00419914871356489	0.00518378802788899	0.00211302992146232	0.000611310374258988	0.00177125517393504	0.000837984803018931	0.0150504272169907	0.000934843461859397	0.0207676030153168	0.00245264544274607	0.00151425561379176	0.000671921729871699	0.00111746428276999	0.0130830373576078	0.00306550290206832	0.000250657481758674	0.000252126856312982	0.00800974273030875	0.00144798735849635	0.00236551225245839	0.00620850252906193	0.000718613908111238	0.00410273492985378	0.00194235332334123	0.00946698434901982	0.00396270112093982	0.00241903822574054	0.00532858388459738	0.00183009505798533	0.0111512004294767	0.000697672817931152	0.000495388664131425	0.000112792827594008	0.000360936505292147	0.000579978943291605	0.00360214688333774	0.00337005538054311	0.00172423206026268	0.00138048136313936	0.00838956681480855	0.0160208342290783	0.00118859548022897	0.000232385509805523	5.12878327310021e-06	0.00661465591635985	0.00433183202568825	0.00238598290726168	0.0104126867897119	0.000576374432022143	0.000713293313153043	0.00164206353601058	0.00212535808502063	0.000793758120637433	0.00328071759204416	0.0111797041564086	0.00138979411147725	0.00370170756635287	0.00733441148217434	0.000917121107447133	0.00288779415372211	0.00229320788289532	0.00453273273422926	0.00063358304605148	0.00692290547816543	0.00689923614261069	0.010518303079824	0.00485566936457963
[Del(C):R(4,5)]A	0.00104661304380184	0.0530994430200437	0.00542298351210659	0.00238634703397621	0.00338400826732658	0.00424100264114957	0.010665675582888	0.000530145787535969	0.008711065053579	0.00184649975735652	0.00440616747542714	0.0100989512250309	0.00174598996055773	0.012043262391671	0.00376542405106322	0.00240862515996134	0.000459554816655971	0.00385825211848184	0.0109878255841799	0.00254792080971846	0.000670855420272532	0.000302706906628531	0.00878731222307045	0.005348103566582	0.00356511610061959	0.00559194801111738	0.00118770687884552	0.0035971241458761	0.00217741521678845	0.00800448551036884	0.00834409267421275	0.00595242814502903	0.00633753602254114	0.00244852583197889	0.0125452235782778	0.00313160766799569	0.00341910357209407	0.000169707220091665	0.00445924039640264	0.00241934096533548	0.00352995040956188	0.0046281767841292	0.00964684737836957	0.00145720735468308	0.0058721627167676	0.0277711497116753	0.00147065504958616	0.00439921864407611	5.65115934721226e-06	0.00619677858754924	0.00374183188603016	0.00544602567215239	0.0138949991585052	0.0123965704408086	0.0033373499469551	0.00318030207780279	0.00313025193498299	0.0094501261107329	0.00232028182840029	0.0154520888925159	0.00538286257195059	0.00420463126344645	0.00723354600067825	0.00900006682897091	0.00506934391207839	0.00304957147919364	0.0073592581767665	0.00445413572147473	0.00955234979653441	0.00597535144566703	0.0098641421750956	0.00525220484211486
[Del(C):R(4,5)]T	0.00126344507485949	0.0277297161682705	0.00535445067210975	0.000767139124661905	0.00282077415939938	0.00338875456861611	0.00627654330801976	0.0010364392739723	0.00489561486184231	0.000651037146582231	0.0031813949822576	0.00962515856961205	0.00448223585505081	0.00821523293012781	0.00302157921376773	0.00176845227838029	0.000646477730715519	0.00102244131554445	0.00866253047643066	0.00246489104727539	0.000634800689484922	0.00061825217465214	0.00486516369922835	0.00322843239142288	0.00235988838994197	0.00411918108722762	0.0024110009081229	0.00199849290616561	0.00215013091532066	0.00592628397146125	0.00330085402942872	0.000872282381229552	0.0043430814473614	0.00269811989203234	0.00914194881075475	0.00151761419719516	0.00361019947846876	9.81233544686568e-05	0.00417832505344736	0.00149859979104959	0.00921311536496223	0.00134584217984116	0.00775859149676438	0.00157191685193257	0.00412358103354892	0.015163280412537	0.000807469134089244	0.00318986190024975	5.98358048528357e-06	0.00558267163978192	0.00240864979871653	0.00363384296829548	0.00179400796615124	0.0111670375079853	0.00188108898763682	7.12524470126088e-05	0.0020772732001252	0.00875903000120936	0.00237735449853726	0.00910416344567781	0.00156214092327161	0.00248024607286393	0.0068076589082894	0.00560644320795638	0.00336912198411986	0.00181164505068708	0.00519248978268115	0.0022671523110891	0.00583740451698482	0.00680773180168777	0.0064942467416188	0.00452291069954819
[Del(C):R(1,5)]G	0.000512208400015747	0.0506275748012529	0.00198040840545842	0.000548582741167415	0.00370791342163173	0.00914356024072921	0.00727503873908758	0.00210246675954677	0.00298836243800546	0.000843547952614106	0.00667043188587644	0.00943634834202111	0.00168246707000039	0.0139705630271298	0.0022613415297837	0.00502897705020848	0.000460980557987998	0.00388882219845776	0.011152845166812	0.00409713812511124	0.00028187799032595	0.000379427716893095	0.0118459613070647	0.00765757491595354	0.00435242877572207	0.00574819912654638	0.00301498949494255	0.00289178056072613	0.00197484269351565	0.00832400666614339	0.0099851382040352	0.00778729838955007	0.00713870981294382	0.00385810887424114	0.012811411465736	0.000398848608547649	0.00144043078545309	8.49564149787863e-05	0.00156425010831902	0.000267240728699775	0.00092509818547921	0.00260523100922731	0.00267742911457521	0.00236656905032197	0.013032353897647	0.0208234286478487	0.000864098324742267	0.000939184318497605	0.000196508381334154	0.00992274374046627	0.0100075164181138	0.00375634817272773	0.0118470664308513	0.00277547184725531	0.000442864957589041	0.00152276658186947	0.00522419126979595	0.00228701117661201	0.00314672374012392	0.0129445106307162	0.0032846473291754	0.00462247395742601	0.0104979203444587	0.00163923089497803	0.00262205014041398	0.00186441440980229	0.00627251634755996	0.00126160140086807	0.00942247489403989	0.0141766314849128	0.00964385382047922	0.0117845266503299
Del(C):R(6,9)	0.0141639928727839	0.0197296919761269	0.0320578968281562	0.00199021481624697	0.00937778684469142	0.00172553041603974	0.00731172274580294	7.04210794370221e-06	0.0217935490889837	0.00213286330958951	0.00529945497044535	0.00186564182985948	0.0050901509641901	0.00222885851642057	0.00222488146121148	0.00394267289908983	0.00107792213774339	0.0079861428035954	0.00240458496520582	0.00214516061520171	0.005401710954853	0.0034649912450367	0.0074379559581481	0.00333638987537265	0.00564819561901868	0.00298623302276737	0.00556842460569997	0.00180891798453505	0.0101503669224645	0.00222460910593746	0.00864372872974504	0.00604021342379471	0.00668963243834313	0.0107075302859874	0.00771951881290972	0.00760907084227778	0.0384424342164316	0.000781412387311164	0.0204583033560486	0.00955169727575796	0.00358403307271298	0.00746059014029211	0.0180614733713461	0.00232413516111389	0.00312043365381274	0.00784105469379535	0.00175177689809651	0.0221924302028446	0.000353506135971833	0.00184037512600534	0.00844642037746063	0.00505153979001944	0.00864938600402146	0.0242916638053861	0.00195704607069185	0.00153823854179221	0.00328306804478482	0.0317303567080218	0.00145990853837318	0.00247311654477613	0.0011542548044028	0.00822454256308105	0.00451662340454431	0.00553150547698496	0.002769645819825	0.00570519796272323	0.00824941947865268	0.00304299724876437	0.00678693218700573	0.00496757905768958	0.00505334760702673	0.00645119346416815
