cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
1	32	TRUE	C.H.All.1	0.9504	0.9842	1	C.H.All.1; C.H.Bladder.1; C.H.Breast.8; C.H.Colon.1; C.H.Esophagus.2; C.H.Lung.5; C.H.MSI.1; C.H.Other.7; C.H.Pancreas.2; C.H.Prostate.1; C.H.Uterus.2; C.P.All.1; C.P.Biliary.1; C.P.Colon.1; C.P.MSI.4; C.P.Other.1; C.P.Stomach.3; C.P.Thymus.1; C.P.Uterus.3; C.PH.All.1; C.PH.Biliary.4; C.PH.Bladder.1; C.PH.Breast.1; C.PH.Colon.2; C.PH.Esophagus.9; C.PH.Lung.1; C.PH.MSI.1; C.PH.Other.6; C.PH.Pancreas.2; C.PH.Prostate.1; C.PH.Stomach.4; C.PH.Uterus.3
2	9	TRUE	C.P.All.18	0.9805	0.9899	1	C.H.All.2; C.H.Breast.2; C.H.Lung.1; C.P.All.18; C.P.Other.2; C.P.Thymus.2; C.PH.Breast.8; C.PH.Lung.2; C.PH.Prostate.2
3	2	FALSE	C.H.All.3	0.967	0.967	0.967	C.H.All.3; C.PH.Lung.7
4	19	TRUE	C.PH.All.4	0.9709	0.9894	1	C.H.All.4; C.H.Breast.12; C.H.Colon.3; C.H.Esophagus.3; C.H.MSI.7; C.H.Other.5; C.P.All.8; C.P.Colon.3; C.P.Esophagus.1; C.P.Other.15; C.P.Stomach.1; C.P.Thymus.15; C.PH.All.4; C.PH.Breast.15; C.PH.Colon.10; C.PH.Esophagus.1; C.PH.MSI.2; C.PH.Other.2; C.PH.Stomach.2
5	8	TRUE	C.PH.All.12	0.9693	0.9824	1	C.H.All.5; C.H.Breast.5; C.H.MSI.2; C.P.Other.21; C.P.Thymus.21; C.PH.All.12; C.PH.Breast.7; C.PH.MSI.12
6	7	TRUE	C.PH.All.6	0.9854	0.9947	1	C.H.All.6; C.H.Breast.13; C.P.All.16; C.P.Other.23; C.P.Thymus.23; C.PH.All.6; C.PH.Breast.2
7	5	TRUE	C.H.MSI.4	0.9698	0.9816	0.9965	C.H.All.7; C.H.Bone.SoftTissue.5; C.H.MSI.4; C.PH.Bone.SoftTissue.7; C.PH.MSI.14
8	23	TRUE	C.H.All.8	0.9694	0.9899	0.9998	C.H.All.8; C.H.Bladder.5; C.H.Bone.SoftTissue.1; C.H.Breast.6; C.H.CNS.7; C.H.Colon.11; C.H.Esophagus.6; C.H.Head.4; C.H.Kidney.3; C.H.Lung.6; C.H.Other.8; C.H.Ovary.2; C.H.Pancreas.4; C.H.Prostate.6; C.PH.All.19; C.PH.Bladder.3; C.PH.Bone.SoftTissue.1; C.PH.Breast.9; C.PH.Colon.12; C.PH.Esophagus.7; C.PH.Lung.5; C.PH.Other.7; C.PH.Prostate.5
9	8	TRUE	C.P.Kidney.2	0.9694	0.9908	1	C.H.All.9; C.H.Kidney.2; C.P.All.15; C.P.Kidney.2; C.P.Other.4; C.P.Thymus.4; C.PH.All.16; C.PH.Kidney.2
10	12	TRUE	C.H.All.10	0.9687	0.9843	1	C.H.All.10; C.H.Bladder.2; C.H.Bone.SoftTissue.6; C.H.Head.1; C.H.Kidney.4; C.H.Other.9; C.PH.All.8; C.PH.Bladder.9; C.PH.Bone.SoftTissue.5; C.PH.Head.4; C.PH.Kidney.4; C.PH.Other.8
11	3	TRUE	C.H.Lung.3	0.958	0.9633	0.9716	C.H.All.11; C.H.Breast.1; C.H.Lung.3
12	6	TRUE	C.H.All.12	0.9821	0.9914	0.9999	C.H.All.12; C.H.Breast.9; C.H.Lung.10; C.PH.All.10; C.PH.Breast.4; C.PH.Lung.11
13	4	TRUE	C.H.All.13	0.9563	0.9786	0.9999	C.H.All.13; C.H.Colon.9; C.PH.All.28; C.PH.Colon.15
14	8	TRUE	C.H.MSI.9	0.9659	0.985	0.9995	C.H.All.14; C.H.Head.7; C.H.Lung.7; C.H.MSI.9; C.PH.Head.9; C.PH.Lung.6; C.PH.MSI.7; C.PH.Skin.8
15	6	TRUE	C.PH.Breast.5	0.9574	0.9787	0.9969	C.H.All.15; C.H.Breast.7; C.P.All.24; C.P.Breast.6; C.PH.All.25; C.PH.Breast.5
16	16	TRUE	C.PH.MSI.9	0.9532	0.9864	1	C.H.All.16; C.H.Esophagus.7; C.H.Lung.2; C.H.MSI.8; C.H.Other.3; C.P.All.4; C.P.Lung.1; C.P.MSI.1; C.P.Other.16; C.P.Thymus.16; C.PH.All.24; C.PH.Esophagus.8; C.PH.Lung.3; C.PH.MSI.9; C.PH.Other.9; C.PH.Skin.1
17	4	TRUE	C.PH.All.29	0.9944	0.9962	0.999	C.H.All.17; C.H.Colon.5; C.PH.All.29; C.PH.Colon.13
18	5	TRUE	C.H.MSI.6	0.9532	0.9818	0.9978	C.H.All.18; C.H.MSI.6; C.PH.All.18; C.PH.MSI.4; C.PH.Stomach.1
19	10	TRUE	C.PH.All.23	0.9729	0.987	1	C.H.All.19; C.H.Breast.4; C.H.Prostate.3; C.P.All.5; C.P.CNS.4; C.P.Other.26; C.P.Thymus.26; C.PH.All.23; C.PH.Breast.3; C.PH.Prostate.8
20	1	FALSE	C.H.All.20	NA	NA	NA	C.H.All.20
21	8	TRUE	C.H.All.21	0.9817	0.99	1	C.H.All.21; C.H.Bladder.6; C.H.Colon.6; C.H.Head.2; C.PH.All.14; C.PH.Bladder.2; C.PH.Colon.11; C.PH.Head.6
22	4	TRUE	C.H.Colon.7	0.9747	0.983	0.9894	C.H.All.22; C.H.Colon.7; C.PH.All.27; C.PH.Colon.20
23	3	TRUE	C.H.All.23	0.9652	0.9755	0.9878	C.H.All.23; C.H.MSI.5; C.H.Uterus.4
24	4	TRUE	C.PH.All.32	0.9755	0.9836	0.9901	C.H.All.24; C.H.Lung.11; C.PH.All.32; C.PH.Lung.12
25	25	TRUE	C.PH.Prostate.7	0.9714	0.9925	1	C.H.All.25; C.H.Bone.SoftTissue.3; C.H.Breast.3; C.H.Esophagus.1; C.H.Lung.4; C.H.MSI.10; C.H.Other.6; C.H.Pancreas.3; C.H.Prostate.4; C.P.All.14; C.P.Lymphoid.3; C.P.Other.5; C.P.Pancreas.2; C.P.Stomach.2; C.P.Thymus.5; C.PH.All.3; C.PH.Bone.SoftTissue.3; C.PH.Breast.6; C.PH.Esophagus.2; C.PH.Lung.4; C.PH.MSI.11; C.PH.Other.1; C.PH.Pancreas.5; C.PH.Prostate.7; C.PH.Stomach.3
26	4	TRUE	C.PH.All.11	0.9766	0.9851	1	C.H.All.26; C.H.Other.2; C.PH.All.11; C.PH.Other.5
27	2	FALSE	C.H.All.27	0.9991	0.9991	0.9991	C.H.All.27; C.PH.All.9
28	2	FALSE	C.H.All.28	0.9919	0.9919	0.9919	C.H.All.28; C.PH.All.33
29	2	FALSE	C.H.All.29	0.9729	0.9729	0.9729	C.H.All.29; C.H.Prostate.9
30	3	TRUE	C.H.All.30	0.9567	0.9732	0.9887	C.H.All.30; C.H.Colon.8; C.H.MSI.12
31	4	TRUE	C.PH.All.34	0.972	0.9847	0.9953	C.H.All.31; C.P.Esophagus.2; C.PH.All.34; C.PH.Esophagus.3
32	3	TRUE	C.H.All.32	0.9859	0.9897	0.9969	C.H.All.32; C.PH.All.37; C.PH.Skin.10
33	1	FALSE	C.H.All.33	NA	NA	NA	C.H.All.33
34	1	FALSE	C.H.All.34	NA	NA	NA	C.H.All.34
35	2	FALSE	C.H.All.35	0.9612	0.9612	0.9612	C.H.All.35; C.PH.Skin.11
36	16	TRUE	C.H.Ovary.1	0.9683	0.9864	0.999	C.H.Biliary.1; C.H.Colon.10; C.H.Ovary.1; C.H.Uterus.1; C.P.Biliary.3; C.P.Breast.1; C.P.Esophagus.4; C.P.Lung.2; C.P.Ovary.1; C.P.Prostate.2; C.P.Uterus.6; C.PH.Biliary.1; C.PH.Colon.6; C.PH.Head.8; C.PH.Ovary.3; C.PH.Uterus.2
37	1	FALSE	C.H.Biliary.2	NA	NA	NA	C.H.Biliary.2
38	5	TRUE	C.PH.Biliary.3	0.9585	0.9733	0.9983	C.H.Biliary.3; C.H.Esophagus.4; C.P.CNS.2; C.PH.Biliary.3; C.PH.CNS.8
39	5	TRUE	C.H.Kidney.1	0.9649	0.9787	0.9999	C.H.Biliary.4; C.H.Head.3; C.H.Kidney.1; C.PH.Head.5; C.PH.Kidney.3
40	3	TRUE	C.H.Bladder.3	0.9714	0.9811	0.9994	C.H.Bladder.3; C.PH.Bladder.4; C.PH.Skin.5
41	6	TRUE	C.PH.Other.4	0.9548	0.9732	0.9928	C.H.Bladder.4; C.H.Other.1; C.H.Pancreas.1; C.PH.Bladder.7; C.PH.Bone.SoftTissue.8; C.PH.Other.4
42	2	FALSE	C.H.Bladder.7	0.9938	0.9938	0.9938	C.H.Bladder.7; C.PH.Bladder.8
43	2	FALSE	C.H.Bladder.8	1	1	1	C.H.Bladder.8; C.PH.Bladder.11
44	4	TRUE	C.H.Bladder.9	0.9567	0.9705	0.9999	C.H.Bladder.9; C.P.Breast.5; C.PH.Bladder.6; C.PH.Ovary.5
45	10	TRUE	C.H.Colon.13	0.9534	0.9749	0.9999	C.H.Bladder.10; C.H.Colon.13; C.H.MSI.11; C.H.Prostate.8; C.H.Uterus.6; C.PH.Bladder.12; C.PH.Colon.3; C.PH.MSI.13; C.PH.Prostate.11; C.PH.Uterus.4
46	1	FALSE	C.H.Bladder.11	NA	NA	NA	C.H.Bladder.11
47	2	FALSE	C.H.Bladder.12	0.9874	0.9874	0.9874	C.H.Bladder.12; C.PH.Bladder.10
48	9	TRUE	C.PH.Other.3	0.9586	0.9795	0.9999	C.H.Bone.SoftTissue.2; C.H.CNS.5; C.H.Head.5; C.H.Other.4; C.PH.Bone.SoftTissue.2; C.PH.CNS.5; C.PH.Head.3; C.PH.Liver.6; C.PH.Other.3
49	4	TRUE	C.PH.Breast.10	0.9576	0.9735	0.9892	C.H.Bone.SoftTissue.4; C.PH.All.5; C.PH.Bone.SoftTissue.4; C.PH.Breast.10
50	8	TRUE	C.H.Prostate.2	0.9647	0.976	0.9998	C.H.Breast.10; C.H.Colon.4; C.H.Prostate.2; C.P.Head.1; C.PH.Breast.13; C.PH.Colon.7; C.PH.Head.1; C.PH.Prostate.3
51	2	FALSE	C.H.Breast.11	0.9716	0.9716	0.9716	C.H.Breast.11; C.PH.Breast.11
52	2	FALSE	C.H.Breast.14	0.9998	0.9998	0.9998	C.H.Breast.14; C.PH.Breast.12
53	2	FALSE	C.H.Breast.15	0.9993	0.9993	0.9993	C.H.Breast.15; C.PH.Breast.14
54	4	TRUE	C.PH.Liver.4	0.9532	0.972	0.9938	C.H.Breast.16; C.P.Head.2; C.P.Liver.4; C.PH.Liver.4
55	4	TRUE	C.H.MSI.3	0.9898	0.9949	1	C.H.CNS.1; C.H.MSI.3; C.PH.CNS.1; C.PH.MSI.18
56	4	TRUE	C.H.CNS.2	0.9534	0.9693	1	C.H.CNS.2; C.P.Other.14; C.P.Thymus.14; C.PH.CNS.6
57	7	TRUE	C.PH.CNS.2	0.9666	0.983	1	C.H.CNS.3; C.P.All.6; C.P.CNS.1; C.P.Other.11; C.P.Thymus.11; C.PH.All.22; C.PH.CNS.2
58	2	FALSE	C.H.CNS.4	0.9993	0.9993	0.9993	C.H.CNS.4; C.PH.CNS.3
59	1	FALSE	C.H.CNS.6	NA	NA	NA	C.H.CNS.6
60	1	FALSE	C.H.CNS.8	NA	NA	NA	C.H.CNS.8
61	3	TRUE	C.PH.Colon.14	0.9559	0.9665	0.9852	C.H.Colon.2; C.P.Colon.9; C.PH.Colon.14
62	4	TRUE	C.H.Colon.12	0.9768	0.9848	0.9961	C.H.Colon.12; C.H.Lung.8; C.PH.Colon.18; C.PH.Lung.10
63	4	TRUE	C.PH.MSI.8	0.9615	0.9769	0.995	C.H.Colon.14; C.H.Prostate.10; C.PH.All.17; C.PH.MSI.8
64	2	FALSE	C.H.Colon.15	0.956	0.956	0.956	C.H.Colon.15; C.PH.Colon.9
65	1	FALSE	C.H.Colon.16	NA	NA	NA	C.H.Colon.16
