MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.03458799462765455	0.00023538405632280045	0.1701759360730648	0.030715149231255054	0.024108545950148254	0.050762874111533164	0.01091360158927273
1:Del:C:1	0.01733908949419856	0.00016967085021178717	0.08241639822721482	0.01629135528812185	0.01538159914780408	0.013604931966401636	0.018807362072402613
1:Del:C:2	0.009041966060176493	0.00022397202623324118	0.035328789800405505	0.0069408844824647535	0.008576973222661764	0.008865496789803728	0.011737216820474714
1:Del:C:3	0.004061838826164604	0.0005023943070773385	0.01568600408732891	0.006417425503314007	0.00718627052847296	0.0034034963546218933	0.010686627478571608
1:Del:C:4	0.002738842662802199	0.0011740408383775502	0.015089253764599561	0.004639726127497852	0.003954847147979308	0.005125867337337695	0.0015863195709243882
1:Del:C:5	0.0012698323433687618	0.00709705313667655	0.007153306151740253	0.00217337097710697	0.0067730293935164805	0.010827950513921679	0.004561389646187308
1:Del:T:0	0.016183642013929786	0.0013485042113461532	0.07080254279077053	0.02727804696187377	0.023543078843504192	0.011305998416501097	0.04081802194938064
1:Del:T:1	0.003517692790046567	0.00028450749545299914	0.04691175054758787	0.01880350673571229	0.016207091305404903	0.011641539353877305	0.012536050713970326
1:Del:T:2	0.012307401201687752	0.0016605905175674706	0.05622939173132181	0.015205914222169667	0.00968635265599005	0.017905512694269418	0.013544534919201396
1:Del:T:3	0.020942298732115887	0.0027432059083366766	0.06200527958571911	0.01082973011856666	0.001820872696735023	0.034898478500545026	0.001958522759232437
1:Del:T:4	0.011157372046727686	0.005874696071259677	0.05541622746735811	0.007203265209027449	8.87034644256346e-05	0.03743155304342508	0.004882320509277633
1:Del:T:5	0.004550195374613395	0.12803492337465286	0.001543070545885712	0.004907909741159528	4.203895392974451e-46	0.5682547590136529	1.0089348943138683e-45
1:Ins:C:0	0.005839742726529948	0.004454704758245498	0.00654602832859382	0.0005940341010136763	0.015093620726838708	0.010933768411632627	0.011764572768151993
1:Ins:C:1	0.003377191236359067	0.0008527187193976716	0.006728423833847046	0.0006262442282786652	0.005415815558517351	0.0008778822321983171	0.007640509197954088
1:Ins:C:2	0.0008371361826084466	0.0004660370603960473	0.0032181219453923404	0.000981034318165257	0.002864059883868322	0.0024040210628299974	0.004118551363935694
1:Ins:C:3	0.0005406855113687925	0.00207100686035119	0.002178515769774094	0.00027916740662476514	0.005372511625755578	0.00023411381038386026	0.0023468969722489417
1:Ins:C:4	9.792834440304432e-05	0.00745287433732301	0.0016184966792934575	0.00026491706365213476	0.002492012020375114	3.278984240751015e-05	0.001591239583940478
1:Ins:C:5	0.0005017438558115828	0.04154734689742327	5.507906998445833e-05	0.0001232139989770076	0.007628454077639617	0.0017117025349898541	0.0072917672709445465
1:Ins:T:0	0.008532590901013463	0.003550932672806084	0.00728849075443577	0.0026111637836220324	0.021605027499608697	0.009162077854853123	0.02360519628840848
1:Ins:T:1	0.0023301264652945976	0.0021329041570425033	0.02573706379160285	0.010279773297952488	0.019507064986974	0.0006198582965589594	0.03899985684081912
1:Ins:T:2	0.0008246191587568319	0.007434721724130213	0.01115405982825905	0.0031326307426206767	0.011231069737114012	0.0021549527845490957	0.01373181969858706
1:Ins:T:3	0.0007013984154425376	0.005966858738102019	0.009086792133748531	0.002011242080188822	0.0076259156013838945	0.0022971413916457097	0.010458261648309417
1:Ins:T:4	0.00034716089219500646	0.014965328155085444	0.0040342301706550645	0.0016711264636251144	0.0007830520348215942	0.004415507108788006	0.010214114694390446
1:Ins:T:5	0.0011166456947103143	0.6772718530893326	0.07690856145694852	0.024114094172837212	0.019668024737213033	0.031101785591600213	0.15697274210164325
2:Del:R:0	0.007345156944356859	5.514129671723822e-05	0.021068837260827422	0.0010591643856002974	0.011619811732089147	0.009994835823308677	0.03477702542208135
2:Del:R:1	0.003959001418843399	0.0002267154068238142	0.017635885630734264	0.009098668526858091	0.0059314279959653505	0.020467188348993658	0.05080262526869774
2:Del:R:2	0.0009514584658609237	0.00013623689191035737	0.00859282092191279	0.0017698030887549976	0.00300746041117236	0.0064865288231521845	0.011177727148169652
